recipient,party,party_source,from_crypto_native,native_items,from_diversified_core,diversified_items,name_variants_combined
Rep. Ted Lieu (D-CA),(D-CA),members-table,2000.0,2,0.0,0,2
Rep. Nicholas J. Begich III (R-AK),(R-AK),members-table,1500.0,1,0.0,0,1
Shomari Figures For Congress,,,1500.0,2,0.0,0,1
Sen. John Boozman (Contribution Refunded On 11/22/2022),,,1500.0,1,0.0,0,1
Rep. Abraham J. Hamadeh (R-AZ),(R-AZ),members-table,1500.0,1,0.0,0,1
Rep. Thomas R. Suozzi (D-NY),(D-NY),members-table,1500.0,3,0.0,0,1
Rep. Donald G. Davis (D-NC),(D-NC),members-table,1500.0,3,0.0,0,1
Gillibrand Brown Victory Fund,,,1500.0,1,0.0,0,1
Rep. David Schweikert (R-AZ),(R-AZ),members-table,1500.0,1,0.0,0,1
Rep. Laura Gillen (D-NY),(D-NY),members-table,1500.0,3,0.0,0,2
Sen. Alex Padilla (D-CA),(D-CA),members-table,1500.0,2,0.0,0,2
Rep. Nellie Pou (D-NJ),(D-NJ),members-table,1500.0,3,0.0,0,3
Gillibrand For Senate,,,1250.0,2,0.0,0,1
Hon. Adam Laxalt,,,1250.0,1,0.0,0,1
Hon. Herschel Walker,,,1250.0,1,0.0,0,1
Blockchain Association Political Action Committee,,,1250.0,3,0.0,0,1
Rep. Troy A. Carter (D-LA),(D-LA),members-table,1000.0,1,0.0,0,1
Candidate Shomari Figures,,,1000.0,1,0.0,0,1
Rep. Troy Downing (R-MT),(R-MT),members-table,1000.0,1,0.0,0,1
Envinsion Ny PAC,,,1000.0,1,0.0,0,1
Gov. James Conley Justice,,,1000.0,1,0.0,0,1
Sen. James C. Justice (R-WV),(R-WV),members-table,1000.0,1,0.0,0,1
Sen. Ted Cruz (R-TX),(R-TX),members-table,1000.0,1,0.0,0,1
Rep. Addison P. McDowell (R-NC),(R-NC),members-table,1000.0,1,0.0,0,1
Rep. Lucy McBath (D-GA),(D-GA),members-table,1000.0,1,0.0,0,1
Hon. Eduardo Morales,,,1000.0,1,0.0,0,1
Rep. Marlin A. Stutzman (R-IN),(R-IN),members-table,1000.0,1,0.0,0,1
Rep. Dave Min (D-CA),(D-CA),members-table,1000.0,2,0.0,0,1
Sen. John Fetterman (D-PA),(D-PA),members-table,1000.0,1,0.0,0,1
Bennet Colorado Victory Fund,,,1000.0,1,0.0,0,1
Rep. Gabe Amo (D-RI),(D-RI),members-table,1000.0,1,0.0,0,1
Colorado Democratic Party,,,1000.0,1,0.0,0,1
Rep. Emily Randall (D-WA),(D-WA),members-table,1000.0,1,0.0,0,1
Lummis For Wyoming Inc.; Steer PAC,,,1000.0,1,0.0,0,1
Rep. Maria Elvira Salazar And National Republican Congressional Committee (Nrsc),,,1000.0,1,0.0,0,1
Rep. Glenn Ivey (D-MD),(D-MD),members-table,1000.0,1,0.0,0,1
Robert Garcia,,,1000.0,1,0.0,0,1
Sen. Jim Banks (R-IN),(R-IN),members-table,1000.0,1,0.0,0,1
Menendez For Senate,,,1000.0,1,0.0,0,1
Citizens For Waters,,,1000.0,1,0.0,0,1
Rep. Josh Gottenheimer,,,1000.0,1,0.0,0,1
Rep. David Scheweikert,,,1000.0,1,0.0,0,1
Rep. David P. Joyce (R-OH),(R-OH),members-table,1000.0,1,0.0,0,1
Carlina Rivera,,,1000.0,1,0.0,0,1
Alsobrooks Victory Fund,,,1000.0,1,0.0,0,1
Rep. Michael Conaway,,,1000.0,1,0.0,0,1
"Lummis For Wyoming Inc., Steer PAC First Principles Digital, NRSC",,,1000.0,1,0.0,0,1
Rep. Henry Cuellar (D-TX),(D-TX),members-table,1000.0,2,0.0,0,1
Rep. Robert Garcia (D-CA),(D-CA),members-table,1000.0,1,0.0,0,1
Rep. Becca Balint (D-VT),(D-VT),members-table,1000.0,1,0.0,0,1
"Ryan Rhodes, Candidate, U.S. House",,,1000.0,1,0.0,0,1
Rep. Beth Van Duyne (R-TX),(R-TX),members-table,1000.0,1,0.0,0,1
Rohit Khanna,,,1000.0,1,0.0,0,1
Rep. George Whitesides (D-CA),(D-CA),members-table,1000.0,2,0.0,0,1
Senator Lummis,,,1000.0,1,0.0,0,1
Rep. Tim Moore (R-NC),(R-NC),members-table,1000.0,1,0.0,0,1
Mike Flood For Congress,,,1000.0,1,0.0,0,1
Rep. Julie Fedorchak (R-ND),(R-ND),members-table,1000.0,1,0.0,0,1
Jasmine For Us,,,1000.0,1,0.0,0,1
Ro For Congress Inc,,,1000.0,1,0.0,0,1
Candidate Brian Jack,,,1000.0,1,0.0,0,1
Lummis Victory,,,1000.0,1,0.0,0,1
Den. Michael D. Crapo,,,1000.0,1,0.0,0,1
Rep. Jimmy Gomez (D-CA),(D-CA),members-table,1000.0,1,0.0,0,1
Candidate Darden Copeland,,,1000.0,1,0.0,0,1
Rep. Julie Johnson (D-TX),(D-TX),members-table,1000.0,1,0.0,0,1
Ron Desantis,,,1000.0,1,0.0,0,1
Rep. Mike Rogers (R-AL),(R-AL),members-table,825.0,1,0.0,0,1
"Nate Morris, Candidate, U.S. Senate",,,750.0,1,0.0,0,1
Sen. Bob Casey (D-PA),(D-PA),manual,750.0,2,0.0,0,2
Emmer For Congress,,,500.0,1,0.0,0,1
Rep. Val T. Hoyle (D-OR),(D-OR),members-table,500.0,1,0.0,0,1
Dnc Services Corp/Democratic National Committee,,,500.0,1,0.0,0,1
Patrick Branco,,,500.0,1,0.0,0,1
Rep. Daniel S. Goldman (D-NY),(D-NY),members-table,500.0,1,0.0,0,1
Gillibrand Victory Fund,,,500.0,1,0.0,0,1
Rep. Mary Peltola,,,500.0,1,0.0,0,1
Candidate Caroleene Dobson,,,500.0,1,0.0,0,1
