display_row,giver_slice,recipient_raw,ld203_filer_org,filer_type,contributor_name,date,amount,contribution_type,n_amendment_versions,filing_uuid,lda_public_url
Sen. Tim Scott (R-SC),diversified_core,SEN. TIM SCOTT,CREDIT UNION NATIONAL ASSOCIATION. INC. DBA AMERICA'S CREDIT UNIONS,organization,CULAC,2022-11-30,5000,feca,1,4774a561-a64a-4990-81c2-b2505cba6ec9,https://lda.senate.gov/filings/public/contribution/4774a561-a64a-4990-81c2-b2505cba6ec9/print/
Sen. Tim Scott (R-SC),diversified_core,SEN. TIMOTHY EUGENE SCOTT,JPMORGAN CHASE HOLDINGS LLC,organization,JPMORGAN CHASE & CO. PAC,2022-12-12,5000,feca,1,760d4d0a-3c97-46ea-8b7a-ac0309d94d4e,https://lda.senate.gov/filings/public/contribution/760d4d0a-3c97-46ea-8b7a-ac0309d94d4e/print/
Sen. Tim Scott (R-SC),diversified_core,SEN. TIM SCOTT,AICPA ASSOCIATION OF INTERNATIONAL CERTIFIED PROFESSIONAL ACCOUNTANTS,organization,AMERICAN INSTITUTE OF CERTIFIED PUBLIC ACCOUNTANTS POLITICAL ACTION COMMITTEE,2022-12-14,5000,feca,1,75773173-4307-4d84-a0ce-16aa645c50ca,https://lda.senate.gov/filings/public/contribution/75773173-4307-4d84-a0ce-16aa645c50ca/print/
Sen. Tim Scott (R-SC),diversified_core,TIM SCOTT,AMERICAN EXPRESS COMPANY,organization,AMERICAN EXPRESS COMPANY POLITICAL ACTION COMMITTEE (AXPPAC),2023-03-13,5000,feca,1,f1ef57cb-1997-4d9c-9bc5-440e268bb4eb,https://lda.senate.gov/filings/public/contribution/f1ef57cb-1997-4d9c-9bc5-440e268bb4eb/print/
Sen. Tim Scott (R-SC),diversified_core,SEN. TIM SCOTT,INVESTMENT COMPANY INSTITUTE,organization,INVESTMENT COMPANY INSTITUTE POLITICAL ACTION COMMITTEE (ICI PAC),2023-03-20,5000,feca,1,fd85530c-c60d-42f2-b298-1042eaac5cbd,https://lda.senate.gov/filings/public/contribution/fd85530c-c60d-42f2-b298-1042eaac5cbd/print/
Sen. Tim Scott (R-SC),diversified_core,SEN TIM SCOTT,THE PNC FINANCIAL SERVICES GROUP,organization,BIPARTISAN VOLUNTARY PUBLIC AFFAIRS COMMITTEE OF THE PNC FINANCIAL SERVICES GROUP INC PNC PAC,2023-03-22,5000,feca,1,4a120b56-6b17-433f-a3e7-1556855c492e,https://lda.senate.gov/filings/public/contribution/4a120b56-6b17-433f-a3e7-1556855c492e/print/
Sen. Tim Scott (R-SC),diversified_core,SEN TIM SCOTT,THE PNC FINANCIAL SERVICES GROUP,organization,FEDERAL BIPARTISAN VOLUNTARY PUBLIC AFFAIRS COMMITTEE OF THE PNC FINANCIAL SERVICES GROUP INC PNC,2023-03-22,5000,feca,1,4a120b56-6b17-433f-a3e7-1556855c492e,https://lda.senate.gov/filings/public/contribution/4a120b56-6b17-433f-a3e7-1556855c492e/print/
Sen. Tim Scott (R-SC),diversified_core,TIM SCOTT,"TD BANK, NA",organization,TD BANK N.A. POLITICAL ACTION COMMITTEE,2023-03-23,5000,feca,1,9ad66fec-1046-49ef-b2e1-2dab587eede5,https://lda.senate.gov/filings/public/contribution/9ad66fec-1046-49ef-b2e1-2dab587eede5/print/
Sen. Tim Scott (R-SC),diversified_core,SEN TIM SCOTT,NATIONAL FOOTBALL LEAGUE,organization,GRIDIRONPAC,2023-03-24,5000,feca,1,60f2086d-6a42-480e-95a6-261a2c55501c,https://lda.senate.gov/filings/public/contribution/60f2086d-6a42-480e-95a6-261a2c55501c/print/
Sen. Tim Scott (R-SC),diversified_core,TIM SCOTT,"CITIGROUP WASHINGTON, INC.",organization,CITIGROUP INC. PAC - FEDERAL,2023-03-24,5000,feca,1,27ce9b4d-c662-4a25-9dee-1b274ea8b0bd,https://lda.senate.gov/filings/public/contribution/27ce9b4d-c662-4a25-9dee-1b274ea8b0bd/print/
Sen. Tim Scott (R-SC),diversified_core,SEN. TIMOTHY EUGENE SCOTT,MELLON FINANCIAL SERVICES CORPORATION #1,organization,BIPARTISAN POLITICAL ACTION COMMITTEE/THE BANK OF NEW YORK MELLON CORPORATION BIPAC/BNYMC,2023-03-27,5000,feca,1,919cd67a-9d7e-4e9f-9886-bf93e15849a4,https://lda.senate.gov/filings/public/contribution/919cd67a-9d7e-4e9f-9886-bf93e15849a4/print/
Sen. Tim Scott (R-SC),diversified_core,SEN. TIM SCOTT,AICPA ASSOCIATION OF INTERNATIONAL CERTIFIED PROFESSIONAL ACCOUNTANTS,organization,AMERICAN INSTITUTE OF CERTIFIED PUBLIC ACCOUNTANTS POLITICAL ACTION COMMITTEE,2023-03-27,5000,feca,1,5fb751f0-fcd8-48f0-a458-88f6d008940a,https://lda.senate.gov/filings/public/contribution/5fb751f0-fcd8-48f0-a458-88f6d008940a/print/
Sen. Tim Scott (R-SC),diversified_core,SEN. TIM SCOTT,INVESTMENT COMPANY INSTITUTE,organization,INVESTMENT COMPANY INSTITUTE POLITICAL ACTION COMMITTEE (ICI PAC),2023-03-28,5000,feca,1,fd85530c-c60d-42f2-b298-1042eaac5cbd,https://lda.senate.gov/filings/public/contribution/fd85530c-c60d-42f2-b298-1042eaac5cbd/print/
Sen. Tim Scott (R-SC),diversified_core,SEN. TIMOTHY EUGENE SCOTT,FMR LLC,organization,FMR LLC POLITICAL ACTION COMMITTEE - FEDERAL (FIDELITY PAC),2023-03-31,5000,feca,1,65e0ebf7-87ad-4b8c-895c-5eba5fe5e056,https://lda.senate.gov/filings/public/contribution/65e0ebf7-87ad-4b8c-895c-5eba5fe5e056/print/
Sen. Tim Scott (R-SC),diversified_core,SEN TIM SCOTT,AMERICAN BANKERS ASSOCIATION,organization,AMERICAN BANKERS ASSOCIATION PAC BANKPAC,2023-04-05,5000,feca,1,fe31b64c-1451-4a83-8d0a-d16830e8aab1,https://lda.senate.gov/filings/public/contribution/fe31b64c-1451-4a83-8d0a-d16830e8aab1/print/
Sen. Tim Scott (R-SC),diversified_core,TIM SCOTT,CREDIT UNION NATIONAL ASSOCIATION. INC. DBA AMERICA'S CREDIT UNIONS,organization,CULAC,2023-04-06,5000,feca,1,d7cd0f30-3895-4715-ada4-de3136c076bc,https://lda.senate.gov/filings/public/contribution/d7cd0f30-3895-4715-ada4-de3136c076bc/print/
Sen. Tim Scott (R-SC),diversified_core,SEN. TIM SCOTT,CREDIT UNION NATIONAL ASSOCIATION. INC. DBA AMERICA'S CREDIT UNIONS,organization,CULAC,2023-04-06,5000,feca,1,d7cd0f30-3895-4715-ada4-de3136c076bc,https://lda.senate.gov/filings/public/contribution/d7cd0f30-3895-4715-ada4-de3136c076bc/print/
Sen. Tim Scott (R-SC),diversified_core,TIM SCOTT,BANK OF AMERICA CORPORATION,organization,BANK OF AMERICA CORPORATION FEDERAL PAC,2023-04-28,5000,feca,1,02b97f3e-dad0-4f86-9f22-975f844724ee,https://lda.senate.gov/filings/public/contribution/02b97f3e-dad0-4f86-9f22-975f844724ee/print/
