client,old_firm,new_firm,hire_dq,move,client_q_canonical_spend,term_uuid,term_lda_url,hire_uuid,hire_lda_url
CVS Health,"KEEFE SINGISER PARTNERS, FKA KEEFE STRATEGIES LLC",MICHAEL BEST STRATEGIES LLC,0,,3320000,f11bb6bc-665c-412d-80ed-881675384285,https://lda.senate.gov/filings/public/filing/f11bb6bc-665c-412d-80ed-881675384285/print/,1ca980f1-9d4a-4155-9fbb-f7baf4fba838,https://lda.senate.gov/filings/public/filing/1ca980f1-9d4a-4155-9fbb-f7baf4fba838/print/
CVS Health,KLEIN/JOHNSON GROUP,MICHAEL BEST STRATEGIES LLC,0,,3320000,7e94cfa1-4c37-489d-9def-7a66190532b8,https://lda.senate.gov/filings/public/filing/7e94cfa1-4c37-489d-9def-7a66190532b8/print/,1ca980f1-9d4a-4155-9fbb-f7baf4fba838,https://lda.senate.gov/filings/public/filing/1ca980f1-9d4a-4155-9fbb-f7baf4fba838/print/
Comcast Corporation,BLOOM STRATEGIC COUNSEL,AQUIA GROUP INC. (F.K.A. AQUIA GROUP LLC),0,,3080000,08f2b130-f045-44fa-a34f-cb39fefdc9e1,https://lda.senate.gov/filings/public/filing/08f2b130-f045-44fa-a34f-cb39fefdc9e1/print/,178eacea-cc43-4e30-abeb-d670bc835617,https://lda.senate.gov/filings/public/filing/178eacea-cc43-4e30-abeb-d670bc835617/print/
Comcast Corporation,BLOOM STRATEGIC COUNSEL,"THEGROUP DC, LLC",0,,3080000,08f2b130-f045-44fa-a34f-cb39fefdc9e1,https://lda.senate.gov/filings/public/filing/08f2b130-f045-44fa-a34f-cb39fefdc9e1/print/,5c7c43e8-939f-41a8-b40d-a5ff63b137a2,https://lda.senate.gov/filings/public/filing/5c7c43e8-939f-41a8-b40d-a5ff63b137a2/print/
Comcast Corporation,DAVID RUDD & ASSOCIATES LLC,AQUIA GROUP INC. (F.K.A. AQUIA GROUP LLC),0,,3080000,80655732-9897-4e53-b21c-4da892d2b4a9,https://lda.senate.gov/filings/public/filing/80655732-9897-4e53-b21c-4da892d2b4a9/print/,178eacea-cc43-4e30-abeb-d670bc835617,https://lda.senate.gov/filings/public/filing/178eacea-cc43-4e30-abeb-d670bc835617/print/
Comcast Corporation,DAVID RUDD & ASSOCIATES LLC,"THEGROUP DC, LLC",0,,3080000,80655732-9897-4e53-b21c-4da892d2b4a9,https://lda.senate.gov/filings/public/filing/80655732-9897-4e53-b21c-4da892d2b4a9/print/,5c7c43e8-939f-41a8-b40d-a5ff63b137a2,https://lda.senate.gov/filings/public/filing/5c7c43e8-939f-41a8-b40d-a5ff63b137a2/print/
Comcast Corporation,"DB3, LLC (FKA THE DASCHLE GROUP)",AQUIA GROUP INC. (F.K.A. AQUIA GROUP LLC),0,,3080000,f32ca3f5-9d39-466a-b8a1-e484922c6e54,https://lda.senate.gov/filings/public/filing/f32ca3f5-9d39-466a-b8a1-e484922c6e54/print/,178eacea-cc43-4e30-abeb-d670bc835617,https://lda.senate.gov/filings/public/filing/178eacea-cc43-4e30-abeb-d670bc835617/print/
Comcast Corporation,"DB3, LLC (FKA THE DASCHLE GROUP)","THEGROUP DC, LLC",0,,3080000,f32ca3f5-9d39-466a-b8a1-e484922c6e54,https://lda.senate.gov/filings/public/filing/f32ca3f5-9d39-466a-b8a1-e484922c6e54/print/,5c7c43e8-939f-41a8-b40d-a5ff63b137a2,https://lda.senate.gov/filings/public/filing/5c7c43e8-939f-41a8-b40d-a5ff63b137a2/print/
Comcast Corporation,RIVENDELL GROUP LLP,AQUIA GROUP INC. (F.K.A. AQUIA GROUP LLC),0,,3080000,a3ce36c6-52ab-4b54-8082-eaea3cf4968a,https://lda.senate.gov/filings/public/filing/a3ce36c6-52ab-4b54-8082-eaea3cf4968a/print/,178eacea-cc43-4e30-abeb-d670bc835617,https://lda.senate.gov/filings/public/filing/178eacea-cc43-4e30-abeb-d670bc835617/print/
Comcast Corporation,RIVENDELL GROUP LLP,"THEGROUP DC, LLC",0,,3080000,a3ce36c6-52ab-4b54-8082-eaea3cf4968a,https://lda.senate.gov/filings/public/filing/a3ce36c6-52ab-4b54-8082-eaea3cf4968a/print/,5c7c43e8-939f-41a8-b40d-a5ff63b137a2,https://lda.senate.gov/filings/public/filing/5c7c43e8-939f-41a8-b40d-a5ff63b137a2/print/
Comcast Corporation,THE DUBERSTEIN GROUP INC.,AQUIA GROUP INC. (F.K.A. AQUIA GROUP LLC),0,,3080000,ea5a8813-5705-414f-94b5-041048d0c3e7,https://lda.senate.gov/filings/public/filing/ea5a8813-5705-414f-94b5-041048d0c3e7/print/,178eacea-cc43-4e30-abeb-d670bc835617,https://lda.senate.gov/filings/public/filing/178eacea-cc43-4e30-abeb-d670bc835617/print/
