quarter,kind,registrant,client,income_trail4_or_firstq,filing_uuid,lda_public_url
2022-Q1,hire,COVINGTON & BURLING LLP,Qualcomm Incorporated,1540000,6fa815c1-3ba1-46e5-9836-d72f58e757fb,https://lda.senate.gov/filings/public/filing/6fa815c1-3ba1-46e5-9836-d72f58e757fb/print/
2022-Q1,hire,MR. ROBERT K WEIDNER,RPLCC,1400000,8eca3ee7-5651-4e1a-9961-1a5add9179ee,https://lda.senate.gov/filings/public/filing/8eca3ee7-5651-4e1a-9961-1a5add9179ee/print/
2022-Q1,hire,"ROBERTI GLOBAL (F/K/A ROBERTI WHITE, LLC)",Nord Stream 2 AG,1210000,c5d2686c-a944-426c-b81e-833c4ede2700,https://lda.senate.gov/filings/public/filing/c5d2686c-a944-426c-b81e-833c4ede2700/print/
2022-Q1,hire,DLA PIPER LLP (US),"Illumina, Inc.",1180000,77b7ce9d-2c94-4d2d-a94d-596bbfce4edf,https://lda.senate.gov/filings/public/filing/77b7ce9d-2c94-4d2d-a94d-596bbfce4edf/print/
2022-Q1,hire,AKIN GUMP STRAUSS HAUER & FELD,GILA RIVER INDIAN COMMUNITY,860000,9092e40b-75e3-4c5c-a4ee-9ae0cc4a19f8,https://lda.senate.gov/filings/public/filing/9092e40b-75e3-4c5c-a4ee-9ae0cc4a19f8/print/
2022-Q1,hire,TRIBUTARY LLP,CHRO ASSOCIATION (FKA HR POLICY ASSOCIATION),820000,ab507010-439c-41da-8729-c9b9c1562715,https://lda.senate.gov/filings/public/filing/ab507010-439c-41da-8729-c9b9c1562715/print/
2022-Q1,hire,AMERICAN ISRAEL PUBLIC AFFAIRS COMMITTEE,AMERICAN ISRAEL PUBLIC AFFAIRS COMMITTEE,690388,50f2ebbc-a514-4e23-b929-5c4198c7c203,https://lda.senate.gov/filings/public/filing/50f2ebbc-a514-4e23-b929-5c4198c7c203/print/
2022-Q1,hire,SIDLEY AUSTIN LLP,"Hikvision USA, Inc.",500000,ba9bdf23-a573-4aa9-ad95-18b41b4f6f03,https://lda.senate.gov/filings/public/filing/ba9bdf23-a573-4aa9-ad95-18b41b4f6f03/print/
2022-Q1,hire,SIDLEY AUSTIN LLP,"Illumina, Inc.",490000,4ffbb796-250b-4376-b309-10555071b66d,https://lda.senate.gov/filings/public/filing/4ffbb796-250b-4376-b309-10555071b66d/print/
2022-Q1,hire,"BROWNSTEIN HYATT FARBER SCHRECK, LLP",LIGHTSTONE INVESTMENTS LLC,470000,102684b0-64bf-4b89-9261-f55ea7ee4358,https://lda.senate.gov/filings/public/filing/102684b0-64bf-4b89-9261-f55ea7ee4358/print/
2022-Q1,hire,KAMINS CONSULTING,Victims of Terrorism - East Africa,470000,483f37ba-9025-4b1e-b9f3-c51b694b6fac,https://lda.senate.gov/filings/public/filing/483f37ba-9025-4b1e-b9f3-c51b694b6fac/print/
2022-Q1,hire,MONUMENT ADVOCACY,Victims of Terrorism - East Africa,470000,c01295b1-8433-4f0e-bdb7-13790e302c18,https://lda.senate.gov/filings/public/filing/c01295b1-8433-4f0e-bdb7-13790e302c18/print/
2022-Q1,hire,"BROWNSTEIN HYATT FARBER SCHRECK, LLP",ATHENE HOLDING,450000,dbf35822-f2e9-4a41-b449-22de64ab99a5,https://lda.senate.gov/filings/public/filing/dbf35822-f2e9-4a41-b449-22de64ab99a5/print/
2022-Q1,hire,SQUIRE PATTON BOGGS,Huawei Technologies USA Inc.,450000,53d84773-ab08-47fc-9bca-168218bd21e9,https://lda.senate.gov/filings/public/filing/53d84773-ab08-47fc-9bca-168218bd21e9/print/
2022-Q1,hire,THE WASHINGTON TAX & PUBLIC POLICY GROUP,ALLIANCE FOR BIOPHARMACEUTICAL COMPETITIVENESS AND INNOVATION,440000,22ee0de7-10bc-42ab-a574-7b436951a665,https://lda.senate.gov/filings/public/filing/22ee0de7-10bc-42ab-a574-7b436951a665/print/
2022-Q1,hire,COVINGTON & BURLING LLP,American Clinical Laboratory Association,420000,551710bf-102d-470f-af80-a59fe7325e87,https://lda.senate.gov/filings/public/filing/551710bf-102d-470f-af80-a59fe7325e87/print/
2022-Q1,hire,BGR GOVERNMENT AFFAIRS,Nord Stream 2 AG,420000,9279043c-1adc-4f2d-aeaa-05bb6d73d739,https://lda.senate.gov/filings/public/filing/9279043c-1adc-4f2d-aeaa-05bb6d73d739/print/
2022-Q1,hire,AKIN GUMP STRAUSS HAUER & FELD,ZTE CORPORATION,410000,c617139d-66b2-49bb-acbc-b67041a66e02,https://lda.senate.gov/filings/public/filing/c617139d-66b2-49bb-acbc-b67041a66e02/print/
2022-Q1,hire,"HARBINGER STRATEGIES, LLC",The Blackstone Group,390000,f9117026-8e09-4953-8193-9d06ee9fa6d3,https://lda.senate.gov/filings/public/filing/f9117026-8e09-4953-8193-9d06ee9fa6d3/print/
2022-Q1,hire,"MCCARTER & ENGLISH, LLP","NORWEGIAN CRUISE LINE HOLDINGS, LTD.",375000,dfa87fce-5f27-472a-a335-3811079e62d1,https://lda.senate.gov/filings/public/filing/dfa87fce-5f27-472a-a335-3811079e62d1/print/
2022-Q1,hire,"K&L GATES, LLP",AMERICAN MARITIME PARTNERSHIP,360000,ab82de54-f804-4011-9343-c438694b5c36,https://lda.senate.gov/filings/public/filing/ab82de54-f804-4011-9343-c438694b5c36/print/
2022-Q1,hire,RUSHMORE STRATEGIC ADVISORS LLC,KIRIL DOMUSCHIEV AND GEORGI DOMUSCHIEV,360000,7ed6294a-3a52-4425-9f8a-4e563ef84fe8,https://lda.senate.gov/filings/public/filing/7ed6294a-3a52-4425-9f8a-4e563ef84fe8/print/
2022-Q1,hire,"MINTZ LEVIN COHN FERRIS GLOVSKY AND POPEO, P.C.",NCTA - The Internet & Television Association,360000,b8f45e5a-20e6-4284-afa0-d95ec13584c9,https://lda.senate.gov/filings/public/filing/b8f45e5a-20e6-4284-afa0-d95ec13584c9/print/
2022-Q1,hire,THE WASHINGTON TAX & PUBLIC POLICY GROUP,TAX REFORM COALITION,340000,ecbad8c1-6815-476b-b427-96b1ed99847a,https://lda.senate.gov/filings/public/filing/ecbad8c1-6815-476b-b427-96b1ed99847a/print/
2022-Q1,hire,"BROWNSTEIN HYATT FARBER SCHRECK, LLP",Apollo Global Management,330000,fd8aebd2-2722-4d10-9f40-06d011106f11,https://lda.senate.gov/filings/public/filing/fd8aebd2-2722-4d10-9f40-06d011106f11/print/
2022-Q1,hire,VENN STRATEGIES,EMPLOYEE-OWNED CONTRACTORS ROUNDTABLE,330000,2c310bce-8a23-41e0-8d75-270364d7dbbc,https://lda.senate.gov/filings/public/filing/2c310bce-8a23-41e0-8d75-270364d7dbbc/print/
2022-Q1,hire,AMERICAN VETERINARY MEDICAL ASSOCIATION,American Veterinary Medical Association,320000,cee6f881-d049-47e3-8751-7bf94a5ac7c8,https://lda.senate.gov/filings/public/filing/cee6f881-d049-47e3-8751-7bf94a5ac7c8/print/
2022-Q1,hire,CARMEN GROUP INCORPORATED,GLOBALFOUNDRIES U.S. Inc.,300000,08d5905e-2405-420c-9c68-ce8e00bc2033,https://lda.senate.gov/filings/public/filing/08d5905e-2405-420c-9c68-ce8e00bc2033/print/
2022-Q1,hire,COVINGTON & BURLING LLP,PHARMACEUTICAL RESEARCH MANUFACTURERS OF AMERICA,280000,d5e26355-ac5a-41cb-8768-009086374aa1,https://lda.senate.gov/filings/public/filing/d5e26355-ac5a-41cb-8768-009086374aa1/print/
2022-Q1,hire,MCLARTY INBOUND LLC,FIRST QUANTUM MINERALS LTD.,270000,95d4bd96-99bf-4533-80c2-b33a93c58345,https://lda.senate.gov/filings/public/filing/95d4bd96-99bf-4533-80c2-b33a93c58345/print/
2022-Q1,term,"ROBERTI GLOBAL (F/K/A ROBERTI WHITE, LLC)",Nord Stream 2 AG,1210000,3c62a230-10e2-4594-882f-4f7919c0a31c,https://lda.senate.gov/filings/public/filing/3c62a230-10e2-4594-882f-4f7919c0a31c/print/
2022-Q1,term,BGR GOVERNMENT AFFAIRS,Nord Stream 2 AG,420000,9279043c-1adc-4f2d-aeaa-05bb6d73d739,https://lda.senate.gov/filings/public/filing/9279043c-1adc-4f2d-aeaa-05bb6d73d739/print/
2022-Q1,term,MCLARTY INBOUND LLC,HYDRO S.R.L.,120000,c9aa97cc-ee7e-432f-88be-5cc512a9c60f,https://lda.senate.gov/filings/public/filing/c9aa97cc-ee7e-432f-88be-5cc512a9c60f/print/
2022-Q1,term,WASHINGTON ALLIANCE GROUP,Southwest Research Institute,120000,dea34ff8-9e96-4346-9911-a99c625ca4a0,https://lda.senate.gov/filings/public/filing/dea34ff8-9e96-4346-9911-a99c625ca4a0/print/
2022-Q1,term,VITELLO CONSULTING,OLYMPIA MEDICAL CENTER,90000,c66f53bf-0c6c-40dd-abf5-dfd02c24fb65,https://lda.senate.gov/filings/public/filing/c66f53bf-0c6c-40dd-abf5-dfd02c24fb65/print/
2022-Q1,term,"BOCKORNY GROUP, INC.",Cognosante,80000,725a7fd5-c413-495c-a3c6-dbf4e669a0a9,https://lda.senate.gov/filings/public/filing/725a7fd5-c413-495c-a3c6-dbf4e669a0a9/print/
2022-Q1,term,SQUIRE PATTON BOGGS,UNITED STATES INFRASTRUCTURE CORPORATION,80000,6d64007b-6b3b-4a12-a396-fea7b6a53d1c,https://lda.senate.gov/filings/public/filing/6d64007b-6b3b-4a12-a396-fea7b6a53d1c/print/
2022-Q1,term,THE DUBERSTEIN GROUP INC.,"Aramark Services, Inc.",75000,f9bebd82-aa8f-4bc1-91ab-0f9927cdad46,https://lda.senate.gov/filings/public/filing/f9bebd82-aa8f-4bc1-91ab-0f9927cdad46/print/
2022-Q1,term,FORBES-TATE,"CAPITOL SOLUTIONS ON BEHALF OF BIPARTISAN POLICY CENTER ADVOCACY NETWORK, INC.",70000,bbd43af7-a29f-47d2-9dcc-88a5b10ffc97,https://lda.senate.gov/filings/public/filing/bbd43af7-a29f-47d2-9dcc-88a5b10ffc97/print/
2022-Q1,term,CROWELL & MORING LLP,ECOLOG INTERNATIONAL FZE,70000,25699ead-4acc-4d0a-aa84-705dcb2392d2,https://lda.senate.gov/filings/public/filing/25699ead-4acc-4d0a-aa84-705dcb2392d2/print/
2022-Q1,term,CROWELL & MORING LLP,ACCREDITATION COUNCIL FOR MEDICAL AFFAIRS,60000,ebb6816a-0af9-455f-bbdd-1e8e63fe14c6,https://lda.senate.gov/filings/public/filing/ebb6816a-0af9-455f-bbdd-1e8e63fe14c6/print/
2022-Q1,term,HOLLAND & KNIGHT LLP,AGEAGLE AERIAL SYSTEMS,60000,b2a0045b-ff12-4da7-81d8-aebd35676612,https://lda.senate.gov/filings/public/filing/b2a0045b-ff12-4da7-81d8-aebd35676612/print/
2022-Q1,term,WILEY REIN LLP,"AT&T Services, Inc.",60000,075c032f-48e9-42d5-97e7-d324c4be46cb,https://lda.senate.gov/filings/public/filing/075c032f-48e9-42d5-97e7-d324c4be46cb/print/
2022-Q1,term,TIBER CREEK GROUP,Biotechnology Innovation Organization,60000,267d1295-739e-4c53-bfcf-482e6eb321a6,https://lda.senate.gov/filings/public/filing/267d1295-739e-4c53-bfcf-482e6eb321a6/print/
2022-Q1,term,FTI GOVERNMENT AFFAIRS,Linde Inc.,60000,de50d4a8-b83e-41a3-b8f1-3be17af8584f,https://lda.senate.gov/filings/public/filing/de50d4a8-b83e-41a3-b8f1-3be17af8584f/print/
2022-Q1,term,THE VOGEL GROUP,MEGVII TECHNOLOGY GROUP,60000,f7a491a9-02c5-456e-9668-459903891b36,https://lda.senate.gov/filings/public/filing/f7a491a9-02c5-456e-9668-459903891b36/print/
2022-Q1,term,"AVOQ, LLC",SCIONHEALTH FKA KINDRED HEALTH CARE OPERATING INC.,60000,7a96d99a-27a4-452d-a658-5d1bb8f2c168,https://lda.senate.gov/filings/public/filing/7a96d99a-27a4-452d-a658-5d1bb8f2c168/print/
2022-Q1,term,LINCOLN POLICY GROUP,THE BLOCKCHAIN ASSOCIATION,60000,1f4a7cc2-0fe7-4a33-b020-feb2a9136cf9,https://lda.senate.gov/filings/public/filing/1f4a7cc2-0fe7-4a33-b020-feb2a9136cf9/print/
2022-Q1,term,"FRANKLIN SQUARE GROUP, LLC","AFTERPAY US, INC.",50000,ab99408d-7c70-456f-b94f-b9d5113c79d0,https://lda.senate.gov/filings/public/filing/ab99408d-7c70-456f-b94f-b9d5113c79d0/print/
2022-Q1,term,"JONES WALKER, LLP",AMERICAN FACTORING ASSOCIATION,50000,78604ee5-5f07-4d56-ad87-8601eb85cc78,https://lda.senate.gov/filings/public/filing/78604ee5-5f07-4d56-ad87-8601eb85cc78/print/
2022-Q1,term,KLEIN/JOHNSON GROUP,BALLYS CORPORATION,50000,dfd53220-f7b6-4cdb-bcbb-0c248220509b,https://lda.senate.gov/filings/public/filing/dfd53220-f7b6-4cdb-bcbb-0c248220509b/print/
2022-Q1,term,"AVOQ, LLC",BRENNAN CENTER FOR JUSTICE AT NYU LAW,50000,c23b9b2a-3af1-47cd-b302-2d7bafa4dad1,https://lda.senate.gov/filings/public/filing/c23b9b2a-3af1-47cd-b302-2d7bafa4dad1/print/
2022-Q1,term,LOCKE LORD LLP,Bally's Corporation,50000,d5a51a75-2d4b-4c3c-939b-a7a655a774e1,https://lda.senate.gov/filings/public/filing/d5a51a75-2d4b-4c3c-939b-a7a655a774e1/print/
2022-Q1,term,HORIZONS GLOBAL SOLUTIONS LLC,"CONEXON, LLC",50000,eb63a468-427a-439e-b435-f91e26554526,https://lda.senate.gov/filings/public/filing/eb63a468-427a-439e-b435-f91e26554526/print/
2022-Q1,term,"TARPLIN, DOWNS & YOUNG, LLC",California Protons Cancer Therapy Center,50000,cecd6f8c-95c2-478c-badb-a50cdc464cb3,https://lda.senate.gov/filings/public/filing/cecd6f8c-95c2-478c-badb-a50cdc464cb3/print/
2022-Q1,term,"THE NICKLES GROUP, LLC","Gilead Sciences, Inc.",50000,0c123e28-40c1-46cc-8e5f-7a42fc8eaf8e,https://lda.senate.gov/filings/public/filing/0c123e28-40c1-46cc-8e5f-7a42fc8eaf8e/print/
2022-Q1,term,"RADIUS ADVOCACY, LLC",Healthcare Distribution Alliance,50000,31a406a2-5562-4362-9be1-25416c42e10d,https://lda.senate.gov/filings/public/filing/31a406a2-5562-4362-9be1-25416c42e10d/print/
2022-Q1,term,"CORNERSTONE GOVERNMENT AFFAIRS, INC.",JR AUTOMATION,50000,828abfaf-5c25-41a8-90be-fd2094b7627c,https://lda.senate.gov/filings/public/filing/828abfaf-5c25-41a8-90be-fd2094b7627c/print/
2022-Q1,term,EMPIRE CONSULTING GROUP,Managed Funds Association,50000,fbaffa95-bf85-4350-b749-0f8f01dbbd03,https://lda.senate.gov/filings/public/filing/fbaffa95-bf85-4350-b749-0f8f01dbbd03/print/
2022-Q1,term,PRICEWATERHOUSECOOPERS,Managed Funds Association,50000,d669365c-e0fa-4ff3-8967-b88ab883f21c,https://lda.senate.gov/filings/public/filing/d669365c-e0fa-4ff3-8967-b88ab883f21c/print/
2022-Q2,hire,PODESTA.COM,GEMCORP CAPITAL MANAGEMENT LIMITED,520000,a3268e50-02de-4af5-902a-8f0d06efd4ff,https://lda.senate.gov/filings/public/filing/a3268e50-02de-4af5-902a-8f0d06efd4ff/print/
2022-Q2,hire,GORDON SMITH,National Association of Broadcasters,390000,6644914f-f4ce-4c1b-8e75-dcc0efc4be69,https://lda.senate.gov/filings/public/filing/6644914f-f4ce-4c1b-8e75-dcc0efc4be69/print/
2022-Q2,hire,HOLLAND & KNIGHT LLP,NINETWELVE INSTITUTE,250000,bb34fda3-14b5-48e3-9d9e-eb34b3dd9796,https://lda.senate.gov/filings/public/filing/bb34fda3-14b5-48e3-9d9e-eb34b3dd9796/print/
2022-Q2,hire,"MCALLISTER & QUINN, LLC",Ascend Elements,240000,05e335ee-530f-443e-9881-ffeceefffe4a,https://lda.senate.gov/filings/public/filing/05e335ee-530f-443e-9881-ffeceefffe4a/print/
2022-Q2,hire,CLARK STREET ASSOCIATES,"BIOMASON, INC.",160000,31208454-4a43-4a8d-92bd-24a790fd764e,https://lda.senate.gov/filings/public/filing/31208454-4a43-4a8d-92bd-24a790fd764e/print/
2022-Q2,hire,YORKTOWN SOLUTIONS,Velta,160000,97c98556-d801-4ec7-9554-8f4b3184f201,https://lda.senate.gov/filings/public/filing/97c98556-d801-4ec7-9554-8f4b3184f201/print/
2022-Q2,hire,HOLLAND & KNIGHT LLP,"Ouster, Inc.",150000,0ad3f4d0-bbe1-45a4-a4f1-79c939b72da8,https://lda.senate.gov/filings/public/filing/0ad3f4d0-bbe1-45a4-a4f1-79c939b72da8/print/
2022-Q2,hire,"MERCURY PUBLIC AFFAIRS, LLC",YEALINK (XIAMEN) NETWORK TECHNOLOGY CO. LTD.,140000,1ddbe9f1-613b-4a19-b7aa-1478bd2263f2,https://lda.senate.gov/filings/public/filing/1ddbe9f1-613b-4a19-b7aa-1478bd2263f2/print/
2022-Q2,hire,HOGAN LOVELLS US LLP,Computer & Communications Industry Association,120000,b4652a28-c290-4b33-8cec-34a9a9db3f75,https://lda.senate.gov/filings/public/filing/b4652a28-c290-4b33-8cec-34a9a9db3f75/print/
2022-Q2,hire,SQUIRE PATTON BOGGS,JBS USA Food Company,120000,32e4bbc2-f3dd-482e-ab5a-717f56519879,https://lda.senate.gov/filings/public/filing/32e4bbc2-f3dd-482e-ab5a-717f56519879/print/
2022-Q2,hire,"THE ELEVATION ASSOCIATION, LLC","Hikvision USA, Inc.",110000,39519fa5-450e-4401-bf16-cf3a2a591399,https://lda.senate.gov/filings/public/filing/39519fa5-450e-4401-bf16-cf3a2a591399/print/
2022-Q2,hire,"GREENBERG TRAURIG, LLP",Accolade,100000,2740eb2f-8622-45c0-9e3f-d4335496beb9,https://lda.senate.gov/filings/public/filing/2740eb2f-8622-45c0-9e3f-d4335496beb9/print/
2022-Q2,hire,"HYPERFOCAL COMMUNICATIONS, LLC",KIRIL AND GEORGI DOMUSCHIEV,100000,8f3664a4-1537-4e38-842b-69e7788d90cd,https://lda.senate.gov/filings/public/filing/8f3664a4-1537-4e38-842b-69e7788d90cd/print/
2022-Q2,hire,"BRIDGE PUBLIC AFFAIRS, LLC",FIRST INTERNATIONAL RESOURCES ON BEHALF OF SAITO TECH LTD.,90000,c2ccb3fe-1bae-4179-a204-014a8242f950,https://lda.senate.gov/filings/public/filing/c2ccb3fe-1bae-4179-a204-014a8242f950/print/
2022-Q2,hire,SQUIRE PATTON BOGGS,SOCIETY OF CARDIO COMPUTED TOMOGRAPHY (SCCT),90000,8206441f-dc4a-47ef-83da-71d4bacf87a9,https://lda.senate.gov/filings/public/filing/8206441f-dc4a-47ef-83da-71d4bacf87a9/print/
2022-Q2,hire,ALPINE ADVISORS,The Walt Disney Company,90000,40318dfa-1e42-4c1d-ade4-b0b89c79935f,https://lda.senate.gov/filings/public/filing/40318dfa-1e42-4c1d-ade4-b0b89c79935f/print/
2022-Q2,hire,"SBL STRATEGIES, LLC",Yandex N.V.,90000,34690c1e-9c6a-4dfd-b494-2ff5d35cfcee,https://lda.senate.gov/filings/public/filing/34690c1e-9c6a-4dfd-b494-2ff5d35cfcee/print/
2022-Q2,hire,SQUIRE PATTON BOGGS,ASTRAZENECA UK LTD.,80000,2f8c9ff2-aefa-4c84-b800-be44c91e1aaa,https://lda.senate.gov/filings/public/filing/2f8c9ff2-aefa-4c84-b800-be44c91e1aaa/print/
2022-Q2,hire,"K&L GATES, LLP",CLARK STREET ASSOCIATES ON BEHALF OF BIOMASON INC.,80000,9247c98d-bf11-4760-a70e-d3e3ddf839cf,https://lda.senate.gov/filings/public/filing/9247c98d-bf11-4760-a70e-d3e3ddf839cf/print/
2022-Q2,hire,"K&L GATES, LLP",CLARK STREET ASSOCIATES ON BEHALF OF GROQ INC.,80000,aaa6b149-81ee-417b-b07b-0ec33bf1bc43,https://lda.senate.gov/filings/public/filing/aaa6b149-81ee-417b-b07b-0ec33bf1bc43/print/
2022-Q2,hire,FAEGRE DRINKER BIDDLE & REATH LLP,Empower Pharmacy,80000,27685e22-2a70-4119-946e-3971e2a5d237,https://lda.senate.gov/filings/public/filing/27685e22-2a70-4119-946e-3971e2a5d237/print/
2022-Q2,hire,"TARPLIN, DOWNS & YOUNG, LLC",FLAGSHIP PIONEERING,80000,ad469860-9057-4823-9b9f-e93b5791bae3,https://lda.senate.gov/filings/public/filing/ad469860-9057-4823-9b9f-e93b5791bae3/print/
2022-Q2,hire,KING & SPALDING LLP,"MAKANA THERAPEUTICS, INC.",80000,55ceb6af-cbd4-487d-840e-2e3bc7a296cb,https://lda.senate.gov/filings/public/filing/55ceb6af-cbd4-487d-840e-2e3bc7a296cb/print/
2022-Q2,hire,DENTONS US LLP,PMI Global Services Inc.,80000,2e35a95a-1946-49e8-b8ba-138606ee9b28,https://lda.senate.gov/filings/public/filing/2e35a95a-1946-49e8-b8ba-138606ee9b28/print/
2022-Q2,hire,SQUIRE PATTON BOGGS,"REYES HOLDING, L.L.C",80000,42dfaca5-81f4-4c62-a588-0fef267c94fb,https://lda.senate.gov/filings/public/filing/42dfaca5-81f4-4c62-a588-0fef267c94fb/print/
2022-Q2,hire,"BALLARD PARTNERS, LLC",RWJBARNABAS HEALTH,80000,3ce12257-b106-4146-8735-40c4d26ae51d,https://lda.senate.gov/filings/public/filing/3ce12257-b106-4146-8735-40c4d26ae51d/print/
2022-Q2,hire,"TARPLIN, DOWNS & YOUNG, LLC",SAS,80000,57f70ab4-d67c-4f8d-9429-4ce3c0cb51f6,https://lda.senate.gov/filings/public/filing/57f70ab4-d67c-4f8d-9429-4ce3c0cb51f6/print/
2022-Q2,hire,EMPIRE CONSULTING GROUP,"Aclima, Inc.",70000,4328bb4d-2756-4d8b-8772-1d5da8b25207,https://lda.senate.gov/filings/public/filing/4328bb4d-2756-4d8b-8772-1d5da8b25207/print/
2022-Q2,hire,FORBES-TATE,Bipartisan Policy Center Action,70000,eb299024-a097-4f4d-b84d-598606af5c39,https://lda.senate.gov/filings/public/filing/eb299024-a097-4f4d-b84d-598606af5c39/print/
2022-Q2,hire,KILPATRICK TOWNSEND AND STOCKTON,FIDELIS NEW ENERGY,70000,f5118a3c-e3cd-4378-9c0a-35b7bf884139,https://lda.senate.gov/filings/public/filing/f5118a3c-e3cd-4378-9c0a-35b7bf884139/print/
2022-Q2,term,DENTONS US LLP,Small UAV Coalition,340000,70add98e-c51d-49d5-bcea-5b109548e6ec,https://lda.senate.gov/filings/public/filing/70add98e-c51d-49d5-bcea-5b109548e6ec/print/
2022-Q2,term,ACG ADVOCACY,CHAMBERLAIN GROUP,230000,81e7cc0e-c6a1-4754-b5f1-785ced043276,https://lda.senate.gov/filings/public/filing/81e7cc0e-c6a1-4754-b5f1-785ced043276/print/
2022-Q2,term,"MILLER STRATEGIES, LLC","OAK VIEW GROUP, LLC",220000,9504616b-23e9-450e-9281-14f1555c6ed9,https://lda.senate.gov/filings/public/filing/9504616b-23e9-450e-9281-14f1555c6ed9/print/
2022-Q2,term,SQUIRE PATTON BOGGS,musicFIRST,210000,332671b2-bb2e-4eac-8e8b-811b58b0adf3,https://lda.senate.gov/filings/public/filing/332671b2-bb2e-4eac-8e8b-811b58b0adf3/print/
2022-Q2,term,MR. DANIEL DELICH,Tarrant Regional Water District,200000,e6729f52-ce74-4d1f-ba54-654aa08ed2fb,https://lda.senate.gov/filings/public/filing/e6729f52-ce74-4d1f-ba54-654aa08ed2fb/print/
2022-Q2,term,AKIN GUMP STRAUSS HAUER & FELD,AIR EVAC LIFETEAM,190000,9ff8a52b-306c-4452-a5d5-1b63d7be09f8,https://lda.senate.gov/filings/public/filing/9ff8a52b-306c-4452-a5d5-1b63d7be09f8/print/
2022-Q2,term,"BALLARD PARTNERS, LLC","PULASKI LAW FIRM, PLLC (ON BEHALF OF BUSINESS INTERRUPTION GROUP)",180000,0d761847-6a35-4fe0-b24c-a802e44de27f,https://lda.senate.gov/filings/public/filing/0d761847-6a35-4fe0-b24c-a802e44de27f/print/
2022-Q2,term,VITELLO CONSULTING,WILSON N. JONES REGIONAL MEDICAL CENTER,180000,a399b4ba-6298-4ad9-8a8d-b5213f3863d4,https://lda.senate.gov/filings/public/filing/a399b4ba-6298-4ad9-8a8d-b5213f3863d4/print/
2022-Q2,term,"BANNER PUBLIC AFFAIRS, LLC",AMERICAN BATTERY TECHNOLOGY COMPANY,170000,cbd2baf8-abe0-4601-af98-fa9746be0375,https://lda.senate.gov/filings/public/filing/cbd2baf8-abe0-4601-af98-fa9746be0375/print/
2022-Q2,term,VENN STRATEGIES,"Regeneron Pharmaceuticals, Inc.",170000,5777a399-94a2-4d93-ad27-5f36cfcb991d,https://lda.senate.gov/filings/public/filing/5777a399-94a2-4d93-ad27-5f36cfcb991d/print/
2022-Q2,term,THE SUMMERILL LAW FIRM,ST. JOSEPH COUNTY POLICE DEPARTMENT,165000,7152f8cd-f008-4c86-af79-e12193a4325c,https://lda.senate.gov/filings/public/filing/7152f8cd-f008-4c86-af79-e12193a4325c/print/
2022-Q2,term,MAYNARD NEXSEN PC,"Blue Origin, LLC",160000,204bd827-9883-4a0b-84c4-8618525f7c62,https://lda.senate.gov/filings/public/filing/204bd827-9883-4a0b-84c4-8618525f7c62/print/
2022-Q2,term,DENTONS US LLP,Infosys Limited,160000,78483635-e76c-4d60-838d-4e0755a95d74,https://lda.senate.gov/filings/public/filing/78483635-e76c-4d60-838d-4e0755a95d74/print/
2022-Q2,term,"TARPLIN, DOWNS & YOUNG, LLC","MEDICAL FACULTY ASSOCIATES, INC.",160000,282e3ba2-4dd7-4dc5-9d5c-17070963183e,https://lda.senate.gov/filings/public/filing/282e3ba2-4dd7-4dc5-9d5c-17070963183e/print/
2022-Q2,term,MAYNARD NEXSEN PC,"Radiance Technologies, Inc.",160000,ab399138-57ed-4a1b-8803-032f80aadd1d,https://lda.senate.gov/filings/public/filing/ab399138-57ed-4a1b-8803-032f80aadd1d/print/
2022-Q2,term,FTI GOVERNMENT AFFAIRS,OCUGEN INC.,150000,4b42ff53-b384-4736-a5fe-6dc722bf3539,https://lda.senate.gov/filings/public/filing/4b42ff53-b384-4736-a5fe-6dc722bf3539/print/
2022-Q2,term,MCDERMOTT+ LLC,HIGH-THROUGHPUT DIAGNOSTIC TESTING COALITION,140000,ca9c8b5b-b8b4-43a1-9829-330a94acfcb0,https://lda.senate.gov/filings/public/filing/ca9c8b5b-b8b4-43a1-9829-330a94acfcb0/print/
2022-Q2,term,AKIN GUMP STRAUSS HAUER & FELD,COALITION OF PROFESSIONAL MINOR HOCKEY LEAGUES,130000,c13df2a5-5966-40d5-975d-5f596439dce8,https://lda.senate.gov/filings/public/filing/c13df2a5-5966-40d5-975d-5f596439dce8/print/
2022-Q2,term,"PLATINUM ADVISORS DC, LLC","COUNTY OF REEVES, TEXAS",130000,11210420-b490-4947-8476-1dd62f250d0a,https://lda.senate.gov/filings/public/filing/11210420-b490-4947-8476-1dd62f250d0a/print/
2022-Q2,term,"PARK STRATEGIES, LLC","Verizon Communications, Inc.",130000,a7112bf1-3dd7-4ab9-9cf6-422385fdc33d,https://lda.senate.gov/filings/public/filing/a7112bf1-3dd7-4ab9-9cf6-422385fdc33d/print/
2022-Q2,term,"BROWNSTEIN HYATT FARBER SCHRECK, LLP","ARCEO LABS, INC. D/B/A RESILIENCE",120000,77276817-9f53-48e2-a825-7bdcb972c5d2,https://lda.senate.gov/filings/public/filing/77276817-9f53-48e2-a825-7bdcb972c5d2/print/
2022-Q2,term,FGS GLOBAL (US) LLC (FKA FGH HOLDINGS LLC),ATOMENERGOREMONT PLC,120000,298cb90b-148b-4602-ac61-c972e51a9fce,https://lda.senate.gov/filings/public/filing/298cb90b-148b-4602-ac61-c972e51a9fce/print/
