quarter,kind,registrant,client,income_trail4_or_firstq,filing_uuid,lda_public_url
2023-Q2,term,"BROWNSTEIN HYATT FARBER SCHRECK, LLP",STANDARD GENERAL,400000,b68444a9-a3fd-4803-87b1-3d92e2abc32e,https://lda.senate.gov/filings/public/filing/b68444a9-a3fd-4803-87b1-3d92e2abc32e/print/
2023-Q2,term,HOGAN LOVELLS US LLP,Binance Holdings Limited,350000,5e39d5de-ef2a-44df-b26e-d432e92d10a2,https://lda.senate.gov/filings/public/filing/5e39d5de-ef2a-44df-b26e-d432e92d10a2/print/
2023-Q2,term,"ALPINE GROUP PARTNERS, LLC.","MINDBLOOM, INC.",340000,f9651e0f-e5eb-41c4-9bd7-0d66b9b58554,https://lda.senate.gov/filings/public/filing/f9651e0f-e5eb-41c4-9bd7-0d66b9b58554/print/
2023-Q2,term,"BROWNSTEIN HYATT FARBER SCHRECK, LLP",FREEPORT LNG EXPANSION,320000,122a799b-59b2-4525-9b46-d9457f914150,https://lda.senate.gov/filings/public/filing/122a799b-59b2-4525-9b46-d9457f914150/print/
2023-Q2,term,VAN SCOYOC ASSOCIATES,Alliance for Plant Based Inclusion,300000,e6056008-5f86-456d-9db5-7e8c18efe4d4,https://lda.senate.gov/filings/public/filing/e6056008-5f86-456d-9db5-7e8c18efe4d4/print/
2023-Q2,term,THE DUBERSTEIN GROUP INC.,"BLUCORA, INC.",300000,84beef76-ded7-4685-b6f2-7d837f2f7675,https://lda.senate.gov/filings/public/filing/84beef76-ded7-4685-b6f2-7d837f2f7675/print/
2023-Q2,term,"BROWNSTEIN HYATT FARBER SCHRECK, LLP",Crowell & Moring LLP obo Victims of State Sponsored Terrorism,300000,9eff43a6-5743-4f4f-9a2b-2f14f4279386,https://lda.senate.gov/filings/public/filing/9eff43a6-5743-4f4f-9a2b-2f14f4279386/print/
2023-Q2,term,MCLARTY INBOUND LLC,Glencore International AG,300000,d16957f4-ddcf-41e4-b42d-57c7dfde4a7d,https://lda.senate.gov/filings/public/filing/d16957f4-ddcf-41e4-b42d-57c7dfde4a7d/print/
2023-Q2,term,"GUIDEPOSTSTRATEGIES, LLC",LIFEWORKS (US) LTD.,300000,f10ca937-4d76-47a4-9d22-0cc98eeee063,https://lda.senate.gov/filings/public/filing/f10ca937-4d76-47a4-9d22-0cc98eeee063/print/
2023-Q2,term,BAKER DONELSON BEARMAN CALDWELL & BERKOWITZ,NORTH AMERICAN INTERPIPE,300000,cd3805c7-1649-4c5c-ba0a-9d7bb739af03,https://lda.senate.gov/filings/public/filing/cd3805c7-1649-4c5c-ba0a-9d7bb739af03/print/
2023-Q2,term,"CORNERSTONE GOVERNMENT AFFAIRS, INC.","Valero Services, Inc.",290000,84ea3621-00fb-4dc8-acc9-7e6cb60b62ed,https://lda.senate.gov/filings/public/filing/84ea3621-00fb-4dc8-acc9-7e6cb60b62ed/print/
2023-Q2,term,HSA STRATEGIES,"RS Access, LLC",285000,38f0fd30-7f11-49f4-be92-ab1524b5f7ac,https://lda.senate.gov/filings/public/filing/38f0fd30-7f11-49f4-be92-ab1524b5f7ac/print/
2023-Q2,term,FORBES-TATE,Ginkgo Bioworks,280000,32a96e82-cdda-4d2f-94b6-fab7289088c8,https://lda.senate.gov/filings/public/filing/32a96e82-cdda-4d2f-94b6-fab7289088c8/print/
2023-Q2,term,CARMEN GROUP INCORPORATED,ARM INC,270000,0b50a7c9-21bd-47e4-be23-77153dbbf7e7,https://lda.senate.gov/filings/public/filing/0b50a7c9-21bd-47e4-be23-77153dbbf7e7/print/
2023-Q2,term,"MILLER STRATEGIES, LLC",J&F INVESTIMENTOS SA,270000,64e5dbb8-53fc-4a13-bd93-d91b5439683c,https://lda.senate.gov/filings/public/filing/64e5dbb8-53fc-4a13-bd93-d91b5439683c/print/
2023-Q2,term,HOLLAND & KNIGHT LLP,POSCO AMERICA CORPORATION,270000,14eb8dea-237a-4194-8eac-d77510447128,https://lda.senate.gov/filings/public/filing/14eb8dea-237a-4194-8eac-d77510447128/print/
2023-Q2,term,STEPTOE LLP,W.L. Gore & Associates,270000,df33febc-0d3d-45d9-8938-e0451a24eeb0,https://lda.senate.gov/filings/public/filing/df33febc-0d3d-45d9-8938-e0451a24eeb0/print/
2023-Q2,term,INVARIANT LLC,FLASHPARKING,260000,f4b92747-fce5-433a-910b-6f4de64f2828,https://lda.senate.gov/filings/public/filing/f4b92747-fce5-433a-910b-6f4de64f2828/print/
2023-Q2,term,MONUMENT ADVOCACY,Seagate Technology LLC,260000,372fbfaa-2f5b-45f1-b68a-870c29d978d2,https://lda.senate.gov/filings/public/filing/372fbfaa-2f5b-45f1-b68a-870c29d978d2/print/
2023-Q2,term,EMPIRE CONSULTING GROUP,"Aclima, Inc.",240000,8d55b798-49a5-44af-9932-736ef55c595d,https://lda.senate.gov/filings/public/filing/8d55b798-49a5-44af-9932-736ef55c595d/print/
2023-Q2,term,BAKER DONELSON BEARMAN CALDWELL & BERKOWITZ,American Association of Nurse Anesthesiology,240000,43b3b806-4002-4b8a-9c4f-c48ff285ec93,https://lda.senate.gov/filings/public/filing/43b3b806-4002-4b8a-9c4f-c48ff285ec93/print/
2023-Q2,term,"ERVIN GRAVES STRATEGY GROUP, LLC",Arizona Chamber of Commerce and Industry,240000,66726155-a739-45fb-8cbc-ff7368556d22,https://lda.senate.gov/filings/public/filing/66726155-a739-45fb-8cbc-ff7368556d22/print/
2023-Q2,term,"ALPINE GROUP PARTNERS, LLC.",Asian American Hotel Owners Association,240000,74262513-c425-45c4-b20a-e87464d9430c,https://lda.senate.gov/filings/public/filing/74262513-c425-45c4-b20a-e87464d9430c/print/
2023-Q2,term,"THE NICKLES GROUP, LLC",CIGNA Corporation,240000,0fdb2542-f9f9-4ac7-969b-633b2db69b5d,https://lda.senate.gov/filings/public/filing/0fdb2542-f9f9-4ac7-969b-633b2db69b5d/print/
2023-Q2,term,"BROWNSTEIN HYATT FARBER SCHRECK, LLP","Cboe Global Markets, Inc.",240000,407cc2d6-04ff-4cf2-ac46-fd40282d8702,https://lda.senate.gov/filings/public/filing/407cc2d6-04ff-4cf2-ac46-fd40282d8702/print/
2023-Q3,hire,STEPTOE LLP,"BGI SHENZHEN CO., LTD.",270000,46bc94b8-dfd4-4360-a241-023990a8ed41,https://lda.senate.gov/filings/public/filing/46bc94b8-dfd4-4360-a241-023990a8ed41/print/
2023-Q3,hire,AKIN GUMP STRAUSS HAUER & FELD,RIDE GROUP LLC,190000,6371e919-0a9e-4813-b6c2-1935ff582a54,https://lda.senate.gov/filings/public/filing/6371e919-0a9e-4813-b6c2-1935ff582a54/print/
2023-Q3,hire,BGR GOVERNMENT AFFAIRS,"QUECTEL WIRELESS SOLUTIONS CO., LTD.",180000,371d7375-b23e-4d5d-a240-17c75a2d9a15,https://lda.senate.gov/filings/public/filing/371d7375-b23e-4d5d-a240-17c75a2d9a15/print/
2023-Q3,hire,HOGAN LOVELLS US LLP,INHANCE TECHNOLOGIES LLC,160000,95dee216-6e0e-4a52-af3f-051bb60c2120,https://lda.senate.gov/filings/public/filing/95dee216-6e0e-4a52-af3f-051bb60c2120/print/
2023-Q3,hire,THE VOGEL GROUP,"Complete Genomics, Inc.",150000,68da2c94-dbc8-42d2-b217-7a16384ddbe4,https://lda.senate.gov/filings/public/filing/68da2c94-dbc8-42d2-b217-7a16384ddbe4/print/
