registrant,client,q_income,cite_uuid,registration_only,terminated_same_q,lda_public_url
CHECKMATE GOVERNMENT RELATIONS,INNOVAIRRS & CO.,1000000,2201942a-6e5a-4639-bac9-d3668fe0dc0d,False,False,https://lda.senate.gov/filings/public/filing/2201942a-6e5a-4639-bac9-d3668fe0dc0d/print/
CHECKMATE GOVERNMENT RELATIONS,COALITION FOR GREEN CAPITAL,450000,e77cd9fe-5632-4994-9bff-a9e8e3f5d953,False,False,https://lda.senate.gov/filings/public/filing/e77cd9fe-5632-4994-9bff-a9e8e3f5d953/print/
"BALLARD PARTNERS, LLC",NEOPRIME CAPITAL PARTNERS,400000,6f48fcf7-d021-4ed5-bb66-ffdeb7dac8e7,False,False,https://lda.senate.gov/filings/public/filing/6f48fcf7-d021-4ed5-bb66-ffdeb7dac8e7/print/
"BALLARD PARTNERS, LLC",ELO ATLANTIC SL,380000,73b3fc6c-d052-4b01-8be4-4f6a3b8ebe68,False,False,https://lda.senate.gov/filings/public/filing/73b3fc6c-d052-4b01-8be4-4f6a3b8ebe68/print/
SQUIRE PATTON BOGGS,"BAE, KIM & LEE LLC ON BEHALF OF KCIH & YPC",370000,9ba797f8-a1b4-44ed-81c2-efb44f9dc582,False,False,https://lda.senate.gov/filings/public/filing/9ba797f8-a1b4-44ed-81c2-efb44f9dc582/print/
"BALLARD PARTNERS, LLC",BANKERS LIFE INSURANCE COMPANY,300000,3aaec57a-50cb-40c3-9b3d-cf834bc0802d,False,False,https://lda.senate.gov/filings/public/filing/3aaec57a-50cb-40c3-9b3d-cf834bc0802d/print/
"BALLARD PARTNERS, LLC",INSURANCE JSC DALLBOGG: LIFE AND HEALTH AD,300000,fb533e7f-ec2d-416c-bf47-096b8987a44a,False,False,https://lda.senate.gov/filings/public/filing/fb533e7f-ec2d-416c-bf47-096b8987a44a/print/
AKIN GUMP STRAUSS HAUER & FELD,"TI CAPITAL MANAGEMENT, LLC",270000,316742de-f3cd-4e72-b154-1213bb675ce1,False,False,https://lda.senate.gov/filings/public/filing/316742de-f3cd-4e72-b154-1213bb675ce1/print/
"BALLARD PARTNERS, LLC","STIIIZY, INC.",250000,27269397-8b79-4333-949c-d5a0339134d8,False,False,https://lda.senate.gov/filings/public/filing/27269397-8b79-4333-949c-d5a0339134d8/print/
"CONTINENTAL STRATEGY, LLC",Telekom Srbija,241936,154000fb-e8ef-441a-b84e-30f61bcfa315,False,False,https://lda.senate.gov/filings/public/filing/154000fb-e8ef-441a-b84e-30f61bcfa315/print/
BGR GOVERNMENT AFFAIRS,"SKADDEN, ARPS, SLATE, MEAGHER & FLOM LLP ON BEHALF OF CANPACK GROUP, INC.",240000,4189df57-1586-4674-9061-cda73e2ae7b0,False,False,https://lda.senate.gov/filings/public/filing/4189df57-1586-4674-9061-cda73e2ae7b0/print/
AKIN GUMP STRAUSS HAUER & FELD,COMPANIA DE FERROCARRILES CHIAPAS-MAYAB,230000,baeb0860-cee9-4c79-9a9b-4af050f25b7a,False,False,https://lda.senate.gov/filings/public/filing/baeb0860-cee9-4c79-9a9b-4af050f25b7a/print/
LMH STRATEGIC SOLUTIONS,MIDSIZED BIOTECH ALLIANCE OF AMERICA (MBAA),230000,f28c2171-e8f5-4aa0-98c3-738e85c9b40c,False,False,https://lda.senate.gov/filings/public/filing/f28c2171-e8f5-4aa0-98c3-738e85c9b40c/print/
STEPTOE LLP,"OREXO US, INC.",230000,b452bcdf-3dae-48eb-9c35-c9f29d989b04,False,False,https://lda.senate.gov/filings/public/filing/b452bcdf-3dae-48eb-9c35-c9f29d989b04/print/
"BROWNSTEIN HYATT FARBER SCHRECK, LLP",SALAMANDER SOLUTIONS INC.,230000,78433fec-34ba-45ee-ac0f-c8330d4d9fdb,False,False,https://lda.senate.gov/filings/public/filing/78433fec-34ba-45ee-ac0f-c8330d4d9fdb/print/
SPIRIT ROCK CONSULTING,HOOPA VALLEY TRIBE,225000,c9819df1-57a8-4511-882c-e1e781e23cf0,False,False,https://lda.senate.gov/filings/public/filing/c9819df1-57a8-4511-882c-e1e781e23cf0/print/
"CONTINENTAL STRATEGY, LLC",COMPAGNIE FINANCIERE RICHEMONT SA,210000,e50c9ab8-5d7f-4325-93a2-0e1840788843,False,False,https://lda.senate.gov/filings/public/filing/e50c9ab8-5d7f-4325-93a2-0e1840788843/print/
SQUIRE PATTON BOGGS,ASCENSUS SPECIALTIES LLC,200000,69767658-e8b0-4ebb-92a6-de54c4d80ed0,False,False,https://lda.senate.gov/filings/public/filing/69767658-e8b0-4ebb-92a6-de54c4d80ed0/print/
"DRAKE VENTURES, LLC","INFINITE POWER HOLDINGS, INC.",200000,187df0a7-ce7a-4c59-af74-b5fda79211fd,False,False,https://lda.senate.gov/filings/public/filing/187df0a7-ce7a-4c59-af74-b5fda79211fd/print/
CHECKMATE GOVERNMENT RELATIONS,AbbVie Inc.,180000,4fba4096-381e-4f0c-928b-0618e4bdda4d,False,False,https://lda.senate.gov/filings/public/filing/4fba4096-381e-4f0c-928b-0618e4bdda4d/print/
VALCOUR LLC,MIDAD ENERGY,180000,15a111ab-b223-4206-acfa-bfefed371ed8,False,False,https://lda.senate.gov/filings/public/filing/15a111ab-b223-4206-acfa-bfefed371ed8/print/
"BALLARD PARTNERS, LLC","Coupang, Inc.",170000,d5b565ea-4e0c-47ca-8762-0e6e6b4242de,False,False,https://lda.senate.gov/filings/public/filing/d5b565ea-4e0c-47ca-8762-0e6e6b4242de/print/
