registrant,n_lost,lost_trail4_income,n_new,net
BALLARD PARTNERS,25,6040000,41,16
HOLLAND & KNIGHT LLP,24,2400000,28,4
"BROWNSTEIN HYATT FARBER SCHRECK, LLP",23,4740000,25,2
"CONTINENTAL STRATEGY, LLC",16,3738071,20,4
"MILLER STRATEGIES, LLC",14,4050000,18,4
CHECKMATE GOVERNMENT RELATIONS,8,2800000,23,15
BOUNDARY STONE PARTNERS,25,2930000,3,-22
CAPITOL COUNSEL LLC,4,670000,24,20
"CORNERSTONE GOVERNMENT AFFAIRS, INC.",15,2350000,13,-2
THE VOGEL GROUP,19,1990700,9,-10
AKIN GUMP STRAUSS HAUER & FELD,14,1390000,13,-1
STRATEGIES 360,26,2390000,0,-26
THORN RUN PARTNERS,12,1400000,13,1
BGR GOVERNMENT AFFAIRS,6,1080000,18,12
INVARIANT LLC,13,2390000,11,-2
"MANATT, PHELPS, AND PHILLIPS",7,337500,17,10
"BECKER & POLIAKOFF, P.A.",15,980000,8,-7
"TSG ADVOCATES DC, LLC",4,305000,19,15
"CASSIDY & ASSOCIATES, INC.",10,1300000,11,1
"CORCORAN & ASSOCIATES, INC. DBA CORCORAN PARTNERS",4,105000,17,13
"SBL STRATEGIES, LLC",21,2770000,0,-21
SQUIRE PATTON BOGGS,8,880000,13,5
COLLECTIVE STRATEGIES & COMMUNICATIONS,0,,19,19
"JEFFREY J. KIMBELL & ASSOCIATES, INC.",9,600000,9,0
FORBES-TATE,10,890000,7,-3
MICHAEL BEST STRATEGIES LLC,6,660000,11,5
"CROSSROADS STRATEGIES, LLC",8,830000,8,0
HORIZON GOVERNMENT AFFAIRS,15,1810000,1,-14
"MERCURY PUBLIC AFFAIRS, LLC",10,1360000,6,-4
"CGCN GROUP, LLC",14,2330000,1,-13
STRATEGIC MARKETING INNOVATIONS,8,860000,7,-1
ANCHOR & ARROW STRATEGIES,13,1360000,1,-12
"ALPINE GROUP PARTNERS, LLC.",9,1510000,4,-5
"K&L GATES, LLP",9,540000,4,-5
"MERCHANT MCINTYRE & ASSOCIATES, LLC",5,510000,8,3
"VENTURE GOVERNMENT STRATEGIES, LLC (FKA HOBART HALLAWAY & QUAYLE VENTURES, LLC)",5,520000,8,3
"WILLIAMS AND JENSEN, PLLC",5,890000,8,3
CROWELL & MORING LLP,11,860000,1,-10
MCGUIREWOODS CONSULTING (A SUBSIDIARY OF MCGUIREWOODS LLP),11,670000,1,-10
DLA PIPER LLP (US),3,570000,8,5
FGS GLOBAL (US) LLC (FKA FGH HOLDINGS LLC),8,860000,3,-5
KING & SPALDING LLP,4,500000,7,3
PILLSBURY WINTHROP SHAW PITTMAN LLP,7,500000,4,-3
VAN SCOYOC ASSOCIATES,2,280000,9,7
VENABLE LLP,7,680000,4,-3
J.A. GREEN AND COMPANY (FORMERLY LLC),7,1140000,3,-4
LOBBYIT.COM,3,195000,7,4
"SANDLER, TRAVIS & ROSENBERG, P.A.",0,,10,10
"TAFT STETTINIUS & HOLLISTER LLP DBA TAFT ADVISORS LLC FKA (TAFT, STETTINIUS & HOLLISTER,LLP)",10,800000,0,-10
"ALBERTINE ENTERPRISES, INC.",9,,0,-9
"BANNER PUBLIC AFFAIRS, LLC",9,860000,0,-9
COZEN O'CONNOR PUBLIC STRATEGIES,7,110000,2,-5
DENTONS US LLP,6,350000,3,-3
"LIBERTY PARTNERS GROUP, LLC",3,80000,6,3
LOT SIXTEEN LLC,5,530000,4,-1
"MEHLMAN CONSULTING, INC.",7,1220000,2,-5
S-3 GROUP,4,530000,5,1
THE BERNHARDT GROUP LLC,4,460000,5,1
CAPITOL HILL COMMUNICATIONS,0,,8,8
"CAPITOL TAX PARTNERS, LLP",7,1140000,1,-6
"ERVIN GRAVES STRATEGY GROUP, LLC",5,500000,3,-2
HOGAN LOVELLS US LLP,5,1460000,3,-2
"MINDSET ADVOCACY, LLC",2,300000,6,4
"MO STRATEGIES, INC.",1,20000,7,6
MONUMENT ADVOCACY,5,570000,3,-2
STEPTOE LLP,6,1170000,2,-4
"THE SMITH-FREE GROUP, LLC",8,265000,0,-8
ACORN CONSULTING,6,150000,1,-5
"AVOQ, LLC",5,1220000,2,-3
