registrant,kind,client,amount,filing_uuid,lda_public_url
AKIN GUMP STRAUSS HAUER & FELD,lost,"VAST, INC. (FKA VAST SPACE LLC)",270000,24aea676-6584-47e9-a8a6-c96305de9028,https://lda.senate.gov/filings/public/filing/24aea676-6584-47e9-a8a6-c96305de9028/print/
AKIN GUMP STRAUSS HAUER & FELD,lost,STORMFISHER HYDROGEN,250000,386016ea-15f2-422c-bec2-ce6ca9c0e44a,https://lda.senate.gov/filings/public/filing/386016ea-15f2-422c-bec2-ce6ca9c0e44a/print/
AKIN GUMP STRAUSS HAUER & FELD,lost,Adobe Inc.,180000,7604f5dc-b747-43f3-b5d3-a758114981f5,https://lda.senate.gov/filings/public/filing/7604f5dc-b747-43f3-b5d3-a758114981f5/print/
AKIN GUMP STRAUSS HAUER & FELD,lost,Stonington Global obo TL Management,140000,0e4ca73d-e0ee-4286-8ee2-12e5f8edca4c,https://lda.senate.gov/filings/public/filing/0e4ca73d-e0ee-4286-8ee2-12e5f8edca4c/print/
AKIN GUMP STRAUSS HAUER & FELD,lost,"GARRETT ELECTRONICS, INC.",90000,86c881ab-63c4-4e08-a05b-4b33c7accf42,https://lda.senate.gov/filings/public/filing/86c881ab-63c4-4e08-a05b-4b33c7accf42/print/
AKIN GUMP STRAUSS HAUER & FELD,lost,"KOCHAVA, INC.",90000,461bc639-a57c-4615-9d76-fd196d2ad2a1,https://lda.senate.gov/filings/public/filing/461bc639-a57c-4615-9d76-fd196d2ad2a1/print/
AKIN GUMP STRAUSS HAUER & FELD,lost,"THE VITA COCO COMPANY, INC.",90000,bf9346fd-550f-4eb4-8e2a-14371984166f,https://lda.senate.gov/filings/public/filing/bf9346fd-550f-4eb4-8e2a-14371984166f/print/
AKIN GUMP STRAUSS HAUER & FELD,lost,"Varda Space Industries, Inc. DBA Varda",90000,a4186e18-34d7-4666-bfdc-bb88539858a9,https://lda.senate.gov/filings/public/filing/a4186e18-34d7-4666-bfdc-bb88539858a9/print/
AKIN GUMP STRAUSS HAUER & FELD,lost,GEODEX INC. DBA DANTI,60000,79ea2524-a21c-46c3-a8d5-bd87d28c1c1e,https://lda.senate.gov/filings/public/filing/79ea2524-a21c-46c3-a8d5-bd87d28c1c1e/print/
AKIN GUMP STRAUSS HAUER & FELD,lost,"BRODIE GENERATIONAL CAPITAL PARTNERS, LLC",50000,cdbc7b17-49b4-4ef9-a544-672aaad802fe,https://lda.senate.gov/filings/public/filing/cdbc7b17-49b4-4ef9-a544-672aaad802fe/print/
AKIN GUMP STRAUSS HAUER & FELD,lost,"TRINA SOLAR (U.S.) HOLDING, INC.",40000,38363b65-f44b-4750-a9ca-011fe321f3c6,https://lda.senate.gov/filings/public/filing/38363b65-f44b-4750-a9ca-011fe321f3c6/print/
AKIN GUMP STRAUSS HAUER & FELD,lost,COMMAND MEDICAL PRODUCTS,20000,dac7059e-794b-43a1-a361-4bed3bef2d4e,https://lda.senate.gov/filings/public/filing/dac7059e-794b-43a1-a361-4bed3bef2d4e/print/
AKIN GUMP STRAUSS HAUER & FELD,lost,"TSO GREENHOUSES, LLC",20000,68031f0f-aa3d-4451-afc4-e836580fe179,https://lda.senate.gov/filings/public/filing/68031f0f-aa3d-4451-afc4-e836580fe179/print/
AKIN GUMP STRAUSS HAUER & FELD,lost,PARTNERSHIP FOR MEDICAID HOME-BASED CARE,,c7be9962-df1c-4b61-b409-4c73c6606f28,https://lda.senate.gov/filings/public/filing/c7be9962-df1c-4b61-b409-4c73c6606f28/print/
AKIN GUMP STRAUSS HAUER & FELD,signed,ASSURED GUARANTY LTD,90000,b7dbf858-52cf-4801-9307-646c5472d438,https://lda.senate.gov/filings/public/filing/b7dbf858-52cf-4801-9307-646c5472d438/print/
AKIN GUMP STRAUSS HAUER & FELD,signed,SILVER POINT CAPITAL L.P.,90000,c5023018-a5b0-4dde-8605-89f9a6467f80,https://lda.senate.gov/filings/public/filing/c5023018-a5b0-4dde-8605-89f9a6467f80/print/
AKIN GUMP STRAUSS HAUER & FELD,signed,Ciena Corporation,80000,f0bc3ba6-9c2f-426b-a0bf-c53937030e7a,https://lda.senate.gov/filings/public/filing/f0bc3ba6-9c2f-426b-a0bf-c53937030e7a/print/
AKIN GUMP STRAUSS HAUER & FELD,signed,Rail Security Alliance,80000,c07ee20a-bfa6-4ddc-a804-d3deda9831df,https://lda.senate.gov/filings/public/filing/c07ee20a-bfa6-4ddc-a804-d3deda9831df/print/
AKIN GUMP STRAUSS HAUER & FELD,signed,"SRAM, LLC",80000,0c05161c-bbe6-43e7-a423-efb5a21afa4d,https://lda.senate.gov/filings/public/filing/0c05161c-bbe6-43e7-a423-efb5a21afa4d/print/
AKIN GUMP STRAUSS HAUER & FELD,signed,"Waste Connections US, Inc.",80000,0ca2662c-806a-4e27-ba10-b3f080300d0e,https://lda.senate.gov/filings/public/filing/0ca2662c-806a-4e27-ba10-b3f080300d0e/print/
AKIN GUMP STRAUSS HAUER & FELD,signed,"BIOSPLICE THERAPEUTICS, INC.",60000,38830a60-1349-47b7-b9ca-87adb9560ca9,https://lda.senate.gov/filings/public/filing/38830a60-1349-47b7-b9ca-87adb9560ca9/print/
AKIN GUMP STRAUSS HAUER & FELD,signed,"Kyverna Therapeutics, Inc.",50000,87255bf2-90b3-4739-b8b5-dd13c26d6f12,https://lda.senate.gov/filings/public/filing/87255bf2-90b3-4739-b8b5-dd13c26d6f12/print/
AKIN GUMP STRAUSS HAUER & FELD,signed,FANUC AMERICA CORPORATION,30000,c29890e5-2f31-423a-9689-7cc55a5e73fb,https://lda.senate.gov/filings/public/filing/c29890e5-2f31-423a-9689-7cc55a5e73fb/print/
AKIN GUMP STRAUSS HAUER & FELD,signed,WW INTERNATIONAL (FORMERLY KNOWN AS WEIGHT WATCHERS),30000,4e31b261-a313-4458-bc48-e3ffa66178dc,https://lda.senate.gov/filings/public/filing/4e31b261-a313-4458-bc48-e3ffa66178dc/print/
AKIN GUMP STRAUSS HAUER & FELD,signed,COMMAND MEDICAL PRODUCTS,20000,dac7059e-794b-43a1-a361-4bed3bef2d4e,https://lda.senate.gov/filings/public/filing/dac7059e-794b-43a1-a361-4bed3bef2d4e/print/
