client,registrant,term_uuid,bar_trail4_income,quarter,income,filing_uuid,filing_type,in_trail4_window,lda_public_url
TL MANAGEMENT,STONINGTON GLOBAL,512e9186-886b-42d9-b698-7ede4f220b74,2455000,2022-Q1,120000,0605e558-fa5d-46d7-8ccd-a991fb344551,Q1,False,https://lda.senate.gov/filings/public/filing/0605e558-fa5d-46d7-8ccd-a991fb344551/print/
TL MANAGEMENT,STONINGTON GLOBAL,512e9186-886b-42d9-b698-7ede4f220b74,2455000,2022-Q2,120000,7cf0403f-2cca-4a08-b897-093ba680a804,Q2,False,https://lda.senate.gov/filings/public/filing/7cf0403f-2cca-4a08-b897-093ba680a804/print/
TL MANAGEMENT,STONINGTON GLOBAL,512e9186-886b-42d9-b698-7ede4f220b74,2455000,2022-Q3,120000,8e52a1d4-5087-43bd-b3e0-59ce96de92f4,Q3,False,https://lda.senate.gov/filings/public/filing/8e52a1d4-5087-43bd-b3e0-59ce96de92f4/print/
TL MANAGEMENT,STONINGTON GLOBAL,512e9186-886b-42d9-b698-7ede4f220b74,2455000,2022-Q4,120000,b0e8f50e-6706-450d-9dcd-874f9c62f53d,Q4,False,https://lda.senate.gov/filings/public/filing/b0e8f50e-6706-450d-9dcd-874f9c62f53d/print/
TL MANAGEMENT,STONINGTON GLOBAL,512e9186-886b-42d9-b698-7ede4f220b74,2455000,2023-Q1,120000,585bff14-6359-4c9a-9706-9ba03d3e8870,Q1,False,https://lda.senate.gov/filings/public/filing/585bff14-6359-4c9a-9706-9ba03d3e8870/print/
TL MANAGEMENT,STONINGTON GLOBAL,512e9186-886b-42d9-b698-7ede4f220b74,2455000,2023-Q2,120000,3c66a810-724d-44db-8804-cf31db541913,Q2,False,https://lda.senate.gov/filings/public/filing/3c66a810-724d-44db-8804-cf31db541913/print/
TL MANAGEMENT,STONINGTON GLOBAL,512e9186-886b-42d9-b698-7ede4f220b74,2455000,2023-Q3,120000,ab67e7a4-0882-435e-b163-741b4415554e,Q3,False,https://lda.senate.gov/filings/public/filing/ab67e7a4-0882-435e-b163-741b4415554e/print/
TL MANAGEMENT,STONINGTON GLOBAL,512e9186-886b-42d9-b698-7ede4f220b74,2455000,2023-Q4,120000,0fa0dc28-87c4-41e3-bad8-62fbb1797de9,Q4,False,https://lda.senate.gov/filings/public/filing/0fa0dc28-87c4-41e3-bad8-62fbb1797de9/print/
TL MANAGEMENT,STONINGTON GLOBAL,512e9186-886b-42d9-b698-7ede4f220b74,2455000,2024-Q1,120000,0c65d52b-db33-4018-965b-c943d4388774,Q1,False,https://lda.senate.gov/filings/public/filing/0c65d52b-db33-4018-965b-c943d4388774/print/
TL MANAGEMENT,STONINGTON GLOBAL,512e9186-886b-42d9-b698-7ede4f220b74,2455000,2024-Q2,90000,4de5c9f9-904d-4344-98b8-206cd64dd8d0,Q2,False,https://lda.senate.gov/filings/public/filing/4de5c9f9-904d-4344-98b8-206cd64dd8d0/print/
TL MANAGEMENT,STONINGTON GLOBAL,512e9186-886b-42d9-b698-7ede4f220b74,2455000,2024-Q3,90000,f3cca554-b170-436d-8388-79148d86834e,Q3,False,https://lda.senate.gov/filings/public/filing/f3cca554-b170-436d-8388-79148d86834e/print/
TL MANAGEMENT,STONINGTON GLOBAL,512e9186-886b-42d9-b698-7ede4f220b74,2455000,2024-Q4,490000,e4f0dfbd-7bae-4398-8286-17a54a535078,Q4,False,https://lda.senate.gov/filings/public/filing/e4f0dfbd-7bae-4398-8286-17a54a535078/print/
TL MANAGEMENT,STONINGTON GLOBAL,512e9186-886b-42d9-b698-7ede4f220b74,2455000,2025-Q1,1290000,e08f1b2e-fa40-4258-a748-fcdb47674339,Q1,True,https://lda.senate.gov/filings/public/filing/e08f1b2e-fa40-4258-a748-fcdb47674339/print/
TL MANAGEMENT,STONINGTON GLOBAL,512e9186-886b-42d9-b698-7ede4f220b74,2455000,2025-Q2,560000,3793437e-e14f-4b6c-8eca-fe9af4134313,Q2,True,https://lda.senate.gov/filings/public/filing/3793437e-e14f-4b6c-8eca-fe9af4134313/print/
TL MANAGEMENT,STONINGTON GLOBAL,512e9186-886b-42d9-b698-7ede4f220b74,2455000,2025-Q3,600000,ab6357f8-c8b7-4494-99a4-90390e36c467,Q3,True,https://lda.senate.gov/filings/public/filing/ab6357f8-c8b7-4494-99a4-90390e36c467/print/
TL MANAGEMENT,STONINGTON GLOBAL,512e9186-886b-42d9-b698-7ede4f220b74,2455000,2025-Q4,5000,512e9186-886b-42d9-b698-7ede4f220b74,4T,True,https://lda.senate.gov/filings/public/filing/512e9186-886b-42d9-b698-7ede4f220b74/print/
United States Steel Corporation,HOGAN LOVELLS US LLP,c75f6970-b20d-4654-878d-c23040ee20b7,980000,2024-Q1,420000,f2be42d4-90d3-4f7d-9b66-e6dcdce3c554,Q1,False,https://lda.senate.gov/filings/public/filing/f2be42d4-90d3-4f7d-9b66-e6dcdce3c554/print/
United States Steel Corporation,HOGAN LOVELLS US LLP,c75f6970-b20d-4654-878d-c23040ee20b7,980000,2024-Q2,420000,adaed85d-9abd-4b22-b31a-bc999870a288,Q2,False,https://lda.senate.gov/filings/public/filing/adaed85d-9abd-4b22-b31a-bc999870a288/print/
United States Steel Corporation,HOGAN LOVELLS US LLP,c75f6970-b20d-4654-878d-c23040ee20b7,980000,2024-Q3,420000,18348d93-a9d9-48eb-9880-2a0db78846c6,Q3,False,https://lda.senate.gov/filings/public/filing/18348d93-a9d9-48eb-9880-2a0db78846c6/print/
United States Steel Corporation,HOGAN LOVELLS US LLP,c75f6970-b20d-4654-878d-c23040ee20b7,980000,2024-Q4,420000,a0b84a3c-5bb7-43bb-9f85-401f44cb32e4,Q4,False,https://lda.senate.gov/filings/public/filing/a0b84a3c-5bb7-43bb-9f85-401f44cb32e4/print/
United States Steel Corporation,HOGAN LOVELLS US LLP,c75f6970-b20d-4654-878d-c23040ee20b7,980000,2025-Q1,420000,14cd9af4-d164-4817-afa9-54bc90f448de,Q1,True,https://lda.senate.gov/filings/public/filing/14cd9af4-d164-4817-afa9-54bc90f448de/print/
United States Steel Corporation,HOGAN LOVELLS US LLP,c75f6970-b20d-4654-878d-c23040ee20b7,980000,2025-Q2,420000,3127c5c8-720d-45d2-b0e3-d05527451426,Q2,True,https://lda.senate.gov/filings/public/filing/3127c5c8-720d-45d2-b0e3-d05527451426/print/
United States Steel Corporation,HOGAN LOVELLS US LLP,c75f6970-b20d-4654-878d-c23040ee20b7,980000,2025-Q3,140000,ace449ea-c865-4111-838a-3e4f6c50d0b5,3A,True,https://lda.senate.gov/filings/public/filing/ace449ea-c865-4111-838a-3e4f6c50d0b5/print/
United States Steel Corporation,HOGAN LOVELLS US LLP,c75f6970-b20d-4654-878d-c23040ee20b7,980000,2025-Q4,,c75f6970-b20d-4654-878d-c23040ee20b7,4TY,True,https://lda.senate.gov/filings/public/filing/c75f6970-b20d-4654-878d-c23040ee20b7/print/
MONTE VALLE ENERGY LLC,CHECKMATE GOVERNMENT RELATIONS,1fc19fd3-fbbf-46fa-85a4-6cc61e8e7f91,900000,2025-Q2,300000,c65e94c9-346c-4cc6-af35-b132fdba784e,Q2,True,https://lda.senate.gov/filings/public/filing/c65e94c9-346c-4cc6-af35-b132fdba784e/print/
MONTE VALLE ENERGY LLC,CHECKMATE GOVERNMENT RELATIONS,1fc19fd3-fbbf-46fa-85a4-6cc61e8e7f91,900000,2025-Q3,300000,5d89a65a-3306-4912-a843-95b6fcbee153,Q3,True,https://lda.senate.gov/filings/public/filing/5d89a65a-3306-4912-a843-95b6fcbee153/print/
MONTE VALLE ENERGY LLC,CHECKMATE GOVERNMENT RELATIONS,1fc19fd3-fbbf-46fa-85a4-6cc61e8e7f91,900000,2025-Q4,300000,b19c6871-1d33-4c37-89e7-53c64ae828a2,Q4,True,https://lda.senate.gov/filings/public/filing/b19c6871-1d33-4c37-89e7-53c64ae828a2/print/
MONTE VALLE ENERGY LLC,CHECKMATE GOVERNMENT RELATIONS,1fc19fd3-fbbf-46fa-85a4-6cc61e8e7f91,900000,2026-Q1,,ee6c4339-70c9-47a0-9fec-053bcacc994c,1T,False,https://lda.senate.gov/filings/public/filing/ee6c4339-70c9-47a0-9fec-053bcacc994c/print/
KIRKLAND & ELLIS LLP,BALLARD PARTNERS,7d58dfe3-249e-4139-9fb1-d2727fc43d95,820000,2025-Q1,100000,3c935877-3d12-41fc-9251-b61d8a9c6700,Q1,True,https://lda.senate.gov/filings/public/filing/3c935877-3d12-41fc-9251-b61d8a9c6700/print/
KIRKLAND & ELLIS LLP,BALLARD PARTNERS,7d58dfe3-249e-4139-9fb1-d2727fc43d95,820000,2025-Q2,300000,952d78ae-b0eb-4587-8485-cdaf45533a74,Q2,True,https://lda.senate.gov/filings/public/filing/952d78ae-b0eb-4587-8485-cdaf45533a74/print/
KIRKLAND & ELLIS LLP,BALLARD PARTNERS,7d58dfe3-249e-4139-9fb1-d2727fc43d95,820000,2025-Q3,300000,4231f0c0-942b-4ff5-b5b7-9f519e4b70ad,Q3,True,https://lda.senate.gov/filings/public/filing/4231f0c0-942b-4ff5-b5b7-9f519e4b70ad/print/
KIRKLAND & ELLIS LLP,BALLARD PARTNERS,7d58dfe3-249e-4139-9fb1-d2727fc43d95,820000,2025-Q4,120000,7d58dfe3-249e-4139-9fb1-d2727fc43d95,4TY,True,https://lda.senate.gov/filings/public/filing/7d58dfe3-249e-4139-9fb1-d2727fc43d95/print/
NELSON MULLINS RILEY & SCARBOROUGH LLP O.B.O. PILATUS AIRCRAFT LTD.,STEPTOE LLP,d351f2fe-1217-40f4-8c2f-38021265c34b,750000,2025-Q3,100000,1012ec51-235b-4976-b2af-0cc7d4f0d0dc,Q3,True,https://lda.senate.gov/filings/public/filing/1012ec51-235b-4976-b2af-0cc7d4f0d0dc/print/
