client,old_firm,new_firm,hire_dq,move,client_q_canonical_spend,term_uuid,term_lda_url,hire_uuid,hire_lda_url
Integrity Marketing Group,HORIZON GOVERNMENT AFFAIRS,MONUMENT ADVOCACY,1,,110000,54be1bc8-b9a8-4ed8-8373-5506dd959997,https://lda.senate.gov/filings/public/filing/54be1bc8-b9a8-4ed8-8373-5506dd959997/print/,2ca2a357-e749-477c-a5b2-6441095b16e7,https://lda.senate.gov/filings/public/filing/2ca2a357-e749-477c-a5b2-6441095b16e7/print/
International Legal Finance Association,CHECKMATE GOVERNMENT RELATIONS,TIGER HILL PARTNERS LLC,-1,,110000,9c03f868-d6a4-4c65-ba9a-0074313a493a,https://lda.senate.gov/filings/public/filing/9c03f868-d6a4-4c65-ba9a-0074313a493a/print/,5174f040-9e9d-4c52-8806-97bd12db3ce0,https://lda.senate.gov/filings/public/filing/5174f040-9e9d-4c52-8806-97bd12db3ce0/print/
REPRODUCTIVE FREEDOM FOR ALL,KEEFE STRATEGIES LLC (FKA KEEFE SINGISER PARTNERS),TEMPLE PARK ADVOCACY SOLITIONS INC.,0,,110000,ae465002-0465-46d0-9b8b-6fbd7a2a1220,https://lda.senate.gov/filings/public/filing/ae465002-0465-46d0-9b8b-6fbd7a2a1220/print/,02e4ffbc-10d7-42f6-b92a-a6ab37249ee1,https://lda.senate.gov/filings/public/filing/02e4ffbc-10d7-42f6-b92a-a6ab37249ee1/print/
TS Conductor,BOUNDARY STONE PARTNERS,MISSION STRATEGIES LLC (ENERGY),0,,110000,1d58c382-fdaa-4752-b4f2-3d9ba7df05a4,https://lda.senate.gov/filings/public/filing/1d58c382-fdaa-4752-b4f2-3d9ba7df05a4/print/,4847cd1a-84c8-496d-b6b8-d11d7475c814,https://lda.senate.gov/filings/public/filing/4847cd1a-84c8-496d-b6b8-d11d7475c814/print/
Thales USA,CONTINENTAL CONSULTING GROUP CORPORATION,JTR STRATEGIES LLC,0,,110000,fd168ecf-e07f-48c2-b9f5-6b8af3e6ecc8,https://lda.senate.gov/filings/public/filing/fd168ecf-e07f-48c2-b9f5-6b8af3e6ecc8/print/,8383aec6-4519-4e3f-b1f3-b2b234be0c78,https://lda.senate.gov/filings/public/filing/8383aec6-4519-4e3f-b1f3-b2b234be0c78/print/
ZERO EMISSION TRANSPORTATION ASSOCIATION (ZETA),"CASSIDY & ASSOCIATES, INC.",KELLEY DRYE & WARREN LLP,0,,110000,d458158f-53f7-4af6-a407-b43201f3f38c,https://lda.senate.gov/filings/public/filing/d458158f-53f7-4af6-a407-b43201f3f38c/print/,6f397f77-6b39-4ec3-ab9d-15f3b1b74187,https://lda.senate.gov/filings/public/filing/6f397f77-6b39-4ec3-ab9d-15f3b1b74187/print/
Acuity International,"FAHMY HUDOME INTERNATIONAL, LLC",HARBORPOINT STRATEGIES LLC,0,,100000,ba024143-4879-4e07-b144-4783c16cbd75,https://lda.senate.gov/filings/public/filing/ba024143-4879-4e07-b144-4783c16cbd75/print/,a3350d5e-f6ae-430b-9c3f-9334fcbc5c09,https://lda.senate.gov/filings/public/filing/a3350d5e-f6ae-430b-9c3f-9334fcbc5c09/print/
Brita,"BANNER PUBLIC AFFAIRS, LLC",CURRENT STRATEGIES,0,,100000,dc2d4638-a9fa-44e4-960b-a3f653552f4c,https://lda.senate.gov/filings/public/filing/dc2d4638-a9fa-44e4-960b-a3f653552f4c/print/,0d731e4a-f20a-4867-b6fa-58a5f707005c,https://lda.senate.gov/filings/public/filing/0d731e4a-f20a-4867-b6fa-58a5f707005c/print/
"Ceres, Inc.",DAVENPORT POLICY,THE VOGEL GROUP,1,,100000,76457930-e11c-4849-bf17-b95f76db2900,https://lda.senate.gov/filings/public/filing/76457930-e11c-4849-bf17-b95f76db2900/print/,340b93f9-c7ec-4d17-befd-d340aeefa236,https://lda.senate.gov/filings/public/filing/340b93f9-c7ec-4d17-befd-d340aeefa236/print/
"ForeScout Technologies, Inc.",ARK STRATEGY,"JANOL, LLC",1,,100000,3baba286-8843-4e27-b08f-c527e50c8971,https://lda.senate.gov/filings/public/filing/3baba286-8843-4e27-b08f-c527e50c8971/print/,3e504fc3-c468-467f-b8b3-73abda9510d0,https://lda.senate.gov/filings/public/filing/3e504fc3-c468-467f-b8b3-73abda9510d0/print/
