client,registrant,filing_uuid,filing_type,reported_income,lda_public_url
1 INC.,BALLARD PARTNERS,c90d6d59-b103-43a7-9c2c-d6512daa714a,4A,40000,https://lda.senate.gov/filings/public/filing/c90d6d59-b103-43a7-9c2c-d6512daa714a/print/
1 INC.,BALLARD PARTNERS,d4925995-72e4-4c03-9da9-58a4993a7c8d,Q4,40000,https://lda.senate.gov/filings/public/filing/d4925995-72e4-4c03-9da9-58a4993a7c8d/print/
1 INC.,BALLARD PARTNERS,87ce8f3a-4153-4c5a-9026-8d482bf934d9,RA,,https://lda.senate.gov/filings/public/filing/87ce8f3a-4153-4c5a-9026-8d482bf934d9/print/
1 INC.,BALLARD PARTNERS,df6d46be-3c94-41c7-a415-f39acb600492,RR,,https://lda.senate.gov/filings/public/filing/df6d46be-3c94-41c7-a415-f39acb600492/print/
"1 NATION ACTION, INC.",SQUIRE PATTON BOGGS,77eaec2a-ad79-4740-a062-e1ffef297545,Q4,50000,https://lda.senate.gov/filings/public/filing/77eaec2a-ad79-4740-a062-e1ffef297545/print/
"1 NATION ACTION, INC.",SQUIRE PATTON BOGGS,05805b44-87ad-45fd-aaf4-8d484990c5f5,RR,,https://lda.senate.gov/filings/public/filing/05805b44-87ad-45fd-aaf4-8d484990c5f5/print/
10 TANKER AIR CARRIER LLC,CAPITOL COUNSEL LLC,43b9b3ba-d89b-4507-932b-0ead349233e1,Q4,20000,https://lda.senate.gov/filings/public/filing/43b9b3ba-d89b-4507-932b-0ead349233e1/print/
10 TANKER AIR CARRIER LLC,CAPITOL COUNSEL LLC,7f2f4f7d-50e4-45a8-b051-5b52cc2cbcfb,RR,,https://lda.senate.gov/filings/public/filing/7f2f4f7d-50e4-45a8-b051-5b52cc2cbcfb/print/
10 X NATIONAL SECURITY,EAST CAPITOL ADVISORS LLC,3480b137-c480-4819-b35c-6aab25af4e9c,Q4,30000,https://lda.senate.gov/filings/public/filing/3480b137-c480-4819-b35c-6aab25af4e9c/print/
10 X NATIONAL SECURITY,EAST CAPITOL ADVISORS LLC,72e1e2d2-23f4-458c-8f62-7aa66bfb18b7,RR,,https://lda.senate.gov/filings/public/filing/72e1e2d2-23f4-458c-8f62-7aa66bfb18b7/print/
24M TECHNOLOGIES,STRATEGIC MARKETING INNOVATIONS,82b21b4f-b8b3-4468-9211-5006b847724f,Q4,10000,https://lda.senate.gov/filings/public/filing/82b21b4f-b8b3-4468-9211-5006b847724f/print/
24M TECHNOLOGIES,STRATEGIC MARKETING INNOVATIONS,27a56d72-57ea-4167-aaf1-bbd58fd2e6ca,RR,,https://lda.senate.gov/filings/public/filing/27a56d72-57ea-4167-aaf1-bbd58fd2e6ca/print/
3M Company,BALLARD PARTNERS,40ad30d6-e8a3-4a64-b993-2f40bbad3d27,Q4,100000,https://lda.senate.gov/filings/public/filing/40ad30d6-e8a3-4a64-b993-2f40bbad3d27/print/
3M Company,BALLARD PARTNERS,40ad30d6-e8a3-4a64-b993-2f40bbad3d27,Q4,100000,https://lda.senate.gov/filings/public/filing/40ad30d6-e8a3-4a64-b993-2f40bbad3d27/print/
3M Company,BALLARD PARTNERS,40ad30d6-e8a3-4a64-b993-2f40bbad3d27,Q4,100000,https://lda.senate.gov/filings/public/filing/40ad30d6-e8a3-4a64-b993-2f40bbad3d27/print/
3M Company,BALLARD PARTNERS,40ad30d6-e8a3-4a64-b993-2f40bbad3d27,Q4,100000,https://lda.senate.gov/filings/public/filing/40ad30d6-e8a3-4a64-b993-2f40bbad3d27/print/
3M Company,BALLARD PARTNERS,40ad30d6-e8a3-4a64-b993-2f40bbad3d27,Q4,100000,https://lda.senate.gov/filings/public/filing/40ad30d6-e8a3-4a64-b993-2f40bbad3d27/print/
3M Company,BALLARD PARTNERS,40ad30d6-e8a3-4a64-b993-2f40bbad3d27,Q4,100000,https://lda.senate.gov/filings/public/filing/40ad30d6-e8a3-4a64-b993-2f40bbad3d27/print/
3M Company,BALLARD PARTNERS,40ad30d6-e8a3-4a64-b993-2f40bbad3d27,Q4,100000,https://lda.senate.gov/filings/public/filing/40ad30d6-e8a3-4a64-b993-2f40bbad3d27/print/
3M Company,BALLARD PARTNERS,40ad30d6-e8a3-4a64-b993-2f40bbad3d27,Q4,100000,https://lda.senate.gov/filings/public/filing/40ad30d6-e8a3-4a64-b993-2f40bbad3d27/print/
3M Company,BALLARD PARTNERS,40ad30d6-e8a3-4a64-b993-2f40bbad3d27,Q4,100000,https://lda.senate.gov/filings/public/filing/40ad30d6-e8a3-4a64-b993-2f40bbad3d27/print/
3M Company,BALLARD PARTNERS,40ad30d6-e8a3-4a64-b993-2f40bbad3d27,Q4,100000,https://lda.senate.gov/filings/public/filing/40ad30d6-e8a3-4a64-b993-2f40bbad3d27/print/
3M Company,BALLARD PARTNERS,40ad30d6-e8a3-4a64-b993-2f40bbad3d27,Q4,100000,https://lda.senate.gov/filings/public/filing/40ad30d6-e8a3-4a64-b993-2f40bbad3d27/print/
3M Company,BALLARD PARTNERS,be15dfa1-2d88-4bed-8171-9cf450ffbb6c,RR,,https://lda.senate.gov/filings/public/filing/be15dfa1-2d88-4bed-8171-9cf450ffbb6c/print/
3M Company,BALLARD PARTNERS,be15dfa1-2d88-4bed-8171-9cf450ffbb6c,RR,,https://lda.senate.gov/filings/public/filing/be15dfa1-2d88-4bed-8171-9cf450ffbb6c/print/
3M Company,BALLARD PARTNERS,be15dfa1-2d88-4bed-8171-9cf450ffbb6c,RR,,https://lda.senate.gov/filings/public/filing/be15dfa1-2d88-4bed-8171-9cf450ffbb6c/print/
3M Company,BALLARD PARTNERS,be15dfa1-2d88-4bed-8171-9cf450ffbb6c,RR,,https://lda.senate.gov/filings/public/filing/be15dfa1-2d88-4bed-8171-9cf450ffbb6c/print/
3M Company,BALLARD PARTNERS,be15dfa1-2d88-4bed-8171-9cf450ffbb6c,RR,,https://lda.senate.gov/filings/public/filing/be15dfa1-2d88-4bed-8171-9cf450ffbb6c/print/
3M Company,BALLARD PARTNERS,be15dfa1-2d88-4bed-8171-9cf450ffbb6c,RR,,https://lda.senate.gov/filings/public/filing/be15dfa1-2d88-4bed-8171-9cf450ffbb6c/print/
3M Company,BALLARD PARTNERS,be15dfa1-2d88-4bed-8171-9cf450ffbb6c,RR,,https://lda.senate.gov/filings/public/filing/be15dfa1-2d88-4bed-8171-9cf450ffbb6c/print/
3M Company,BALLARD PARTNERS,be15dfa1-2d88-4bed-8171-9cf450ffbb6c,RR,,https://lda.senate.gov/filings/public/filing/be15dfa1-2d88-4bed-8171-9cf450ffbb6c/print/
3M Company,BALLARD PARTNERS,be15dfa1-2d88-4bed-8171-9cf450ffbb6c,RR,,https://lda.senate.gov/filings/public/filing/be15dfa1-2d88-4bed-8171-9cf450ffbb6c/print/
3M Company,BALLARD PARTNERS,be15dfa1-2d88-4bed-8171-9cf450ffbb6c,RR,,https://lda.senate.gov/filings/public/filing/be15dfa1-2d88-4bed-8171-9cf450ffbb6c/print/
3M Company,BALLARD PARTNERS,be15dfa1-2d88-4bed-8171-9cf450ffbb6c,RR,,https://lda.senate.gov/filings/public/filing/be15dfa1-2d88-4bed-8171-9cf450ffbb6c/print/
"535 GROUP, LLC ON BEHALF OF CAPSTONE RESEARCH CORPORATION","RESTON STRATEGY GROUP, LLC",3b7f393d-2114-4afd-8ad2-064d7394c005,Q4,20000,https://lda.senate.gov/filings/public/filing/3b7f393d-2114-4afd-8ad2-064d7394c005/print/
"535 GROUP, LLC ON BEHALF OF CAPSTONE RESEARCH CORPORATION","RESTON STRATEGY GROUP, LLC",af8afa9d-5603-4113-8517-dbd2e1acaeff,RR,,https://lda.senate.gov/filings/public/filing/af8afa9d-5603-4113-8517-dbd2e1acaeff/print/
6K ADDITIVE,J.A. GREEN AND COMPANY (FORMERLY LLC),e3a1478b-2477-4354-986f-97b8be6de408,RR,,https://lda.senate.gov/filings/public/filing/e3a1478b-2477-4354-986f-97b8be6de408/print/
"ABILITY HOUSING, INC.",CONVERGE PUBLIC STRATEGIES,71093f9d-b0ad-4974-8f66-77f8cebd91cf,Q4,40000,https://lda.senate.gov/filings/public/filing/71093f9d-b0ad-4974-8f66-77f8cebd91cf/print/
"ABILITY HOUSING, INC.",CONVERGE PUBLIC STRATEGIES,d161e9af-24af-4370-9220-625a9f2b31c2,RR,,https://lda.senate.gov/filings/public/filing/d161e9af-24af-4370-9220-625a9f2b31c2/print/
ACCOMPANY HEALTH,FEDERAL HEALTH POLICY STRATEGIES,01246f25-f2c1-4769-b3d3-5f62509471e4,Q4,50000,https://lda.senate.gov/filings/public/filing/01246f25-f2c1-4769-b3d3-5f62509471e4/print/
ACCOMPANY HEALTH,FEDERAL HEALTH POLICY STRATEGIES,e1fd0c66-2deb-433f-aafa-e60676113a8e,RR,,https://lda.senate.gov/filings/public/filing/e1fd0c66-2deb-433f-aafa-e60676113a8e/print/
ACCOMPLICES LLC,"ERVIN GRAVES STRATEGY GROUP, LLC",06e160f4-30a2-484c-aaeb-513decc82398,Q4,10000,https://lda.senate.gov/filings/public/filing/06e160f4-30a2-484c-aaeb-513decc82398/print/
ACCOMPLICES LLC,"ERVIN GRAVES STRATEGY GROUP, LLC",5a0a620c-ae91-4dc7-8d52-764344adab9b,RR,,https://lda.senate.gov/filings/public/filing/5a0a620c-ae91-4dc7-8d52-764344adab9b/print/
"ACCUTAR BIOTECHNOLOGY, INC.",BALLARD PARTNERS,58ba5d8f-b1ae-4ed2-b10f-99d9ed335912,Q4,170000,https://lda.senate.gov/filings/public/filing/58ba5d8f-b1ae-4ed2-b10f-99d9ed335912/print/
