recipient_raw,items,total
PRESIDENT DONALD TRUMP & VICE PRESIDENT JD VANCE,1,150000.0
SEN. MITCH MCCONNELL,21,148000.0
CONGRESSIONAL HISPANIC CAUCUS INSTITUTE,5,145000.0
DCCC BUILDING FUND,4,145000.0
TOM EMMER,48,144925.0
JOHN BARRASSO,42,141000.0
MIKE JOHNSON,17,140500.0
REP STEVE SCALISE,28,137500.0
HAKEEM JEFFRIES,36,136000.0
DCCC (RECOUNT AND LEGAL FUND),3,135000.0
DSCC (RECOUNT AND LEGAL FUND),3,135000.0
NRCC (RECOUNT AND LEGAL FUND),3,135000.0
NRSC (RECOUNT AND LEGAL FUND),3,135000.0
CHERYL JOHNSON,5,134975.0
REP. CATHY MCMORRIS RODGERS,48,134350.0
ROGER WICKER,42,132500.0
JOHN CORNYN,39,130500.0
NEW DEMOCRAT COALITION ACTION FUND,26,130000.0
JERRY MORAN,39,129500.0
SHELLEY MOORE CAPITO,40,129500.0
MARK WARNER,46,125850.0
SUZAN DELBENE,43,125800.0
JASON SMITH,43,125500.0
REP RICHARD HUDSON,28,125500.0
"GOVERNING MAJORITY FUND, THE",2,125000.0
PETE BUTTIGIEG,2,125000.0
SPONSORSHIP OF THE NATIONAL ARCHIVES CONGRESSIONAL OPEN HOUSE AND A TWO-YEAR SILVER LEVEL CORPORATE COUNCIL MEMBERSHIP,1,125000.0
WOMEN VOTE!,1,125000.0
REP PETE AGUILAR,38,123500.0
REP SAM GRAVES,38,123350.0
GREG STANTON,55,123000.0
"CONGRESSIONAL HISPANIC CAUCUS (REP. DARREN SOTO (D-FL), CHAIR). CONTRIBUTION WAS MADE IN THE FORM OF 600 ONE-WAY AIRLINE TICKETS",1,120000.0
"CONGRESSIONAL HISPANIC CAUCUS (REP. RAUL RUIZ, D-CA-36, CHAIR). CONTRIBUTION IN THE FORM OF 600 ONE-WAY AIRLINE PASSES TO CHCI",1,120000.0
DEM NATIONAL CMTE(DNC)-FEDERAL ACCT,4,120000.0
REP NATIONAL CMTE(RNC)-FEDERAL ACCT,4,120000.0
"SCALISE, STEVE",31,119000.0
JON TESTER,47,116050.0
STENY HOYER,37,116000.0
PRESIDENT JOE BIDEN,3,115500.0
SUSAN COLLINS,35,114500.0
TIM KAINE,37,114350.0
SEN. JACKY ROSEN,52,114181.0
REP. JIM CLYBURN,21,114000.0
REP. JAMES ENOS CLYBURN,39,113000.0
DAN SULLIVAN,35,112500.0
SEN. LISA MURKOWSKI,23,111750.0
REP. SAM GRAVES,55,110550.0
REP KEVIN MCCARTHY,7,110000.0
REP. STEPHEN JOSEPH SCALISE,30,110000.0
