quarter,all_releases,genius_releases,genius_share_pct
2022-Q1,5041,0,0.0
2022-Q2,5114,0,0.0
2022-Q3,5223,0,0.0
2022-Q4,4324,0,0.0
2023-Q1,7899,0,0.0
2023-Q2,8015,0,0.0
2023-Q3,6885,0,0.0
2023-Q4,7450,0,0.0
2024-Q1,8772,0,0.0
2024-Q2,9476,0,0.0
2024-Q3,7902,0,0.0
2024-Q4,5433,0,0.0
2025-Q1,13772,7,0.05
2025-Q2,12775,44,0.34
2025-Q3,11147,46,0.41
2025-Q4,10624,5,0.05
2026-Q1,11466,4,0.03
