member,giver_slice,raw_recipient_string_as_filed,tier,confidence,source,total,items
Rep. Bradley Scott Schneider (D-IL),diversified_core,REP. BRAD SCHNEIDER,direct,matched,person-name,109500.0,42
Rep. Bradley Scott Schneider (D-IL),diversified_core,BRAD SCHNEIDER,direct,matched,person-name,100000.0,40
Rep. Brendan F. Boyle (D-PA),crypto_native,REP. BRENDAN BOYLE,direct,matched,person-name,2000.0,2
Rep. Brett Guthrie (R-KY),diversified_core,REP. BRETT GUTHRIE,direct,matched,person-name,54000.0,24
Rep. Brian Jack (R-GA),crypto_native,REP. BRIAN JACK,direct,matched,person-name,5000.0,2
Rep. Brian Jack (R-GA),crypto_native,BRIAN JACK,direct,matched,person-name,1500.0,2
Rep. Brian Jack (R-GA),crypto_native,REPRESENTATIVE BRIAN JACK,direct,matched,person-name,500.0,1
Rep. Brian K. Fitzpatrick (R-PA),diversified_core,BRIAN FITZPATRICK,direct,matched,person-name,91000.0,32
Rep. Brian K. Fitzpatrick (R-PA),diversified_core,REP. BRIAN FITZPATRICK,direct,matched,person-name,63500.0,19
Rep. Brian K. Fitzpatrick (R-PA),diversified_core,REP BRIAN FITZPATRICK,direct,matched,person-name,53000.0,24
Rep. Brittany Pettersen (D-CO),crypto_native,REP. BRITTANY PETTERSEN,direct,matched,person-name,4500.0,5
Rep. Brittany Pettersen (D-CO),crypto_native,BRITTANY PETTERSEN,direct,matched,person-name,1000.0,1
Rep. Brittany Pettersen (D-CO),crypto_native,REP. BRITTANY LOUISE PETTERSEN,direct,matched,person-name,500.0,1
Rep. Brittany Pettersen (D-CO),diversified_core,REP. BRITTANY PETTERSEN,direct,matched,person-name,114500.0,52
Rep. Brittany Pettersen (D-CO),diversified_core,BRITTANY PETTERSEN,direct,matched,person-name,95750.0,41
Rep. Bryan Steil (R-WI),crypto_native,"STEIL FOR WISCONSIN, INC.; REPUBLICAN PARTY OF WISCONSIN; ON WISCONSIN PAC; NRCC",campaign-committee,compound:linked,committee-exact/fec-ccl,10500.0,4
Rep. Bryan Steil (R-WI),crypto_native,"STEIL FOR WISCONSIN, INC.; REPUBLICAN PARTY OF WISCONSIN; ON WISCONSIN PAC; NRCC",leadership-pac,compound:prefix,committee-prefix/openfec-sponsor,10500.0,4
Rep. Bryan Steil (R-WI),crypto_native,REP. BRYAN GEORGE STEIL,direct,matched,person-name,6000.0,4
Rep. Bryan Steil (R-WI),crypto_native,BRYAN STEIL,direct,matched,person-name,3500.0,2
Rep. Bryan Steil (R-WI),crypto_native,REPRESENTATIVE BRYAN STEIL,direct,matched,person-name,2500.0,1
Rep. Bryan Steil (R-WI),crypto_native,"STEIL FOR WISCONSIN, INC. REPUBLICAN PARTY OF WISCONSIN ON WISCONSIN PAC NRCC",campaign-committee,prefix,committee-prefix/fec-ccl,500.0,1
Rep. Bryan Steil (R-WI),diversified_core,REP. BRYAN STEIL,direct,matched,person-name,194500.0,72
Rep. Bryan Steil (R-WI),diversified_core,BRYAN STEIL,direct,matched,person-name,149500.0,76
Rep. Bryan Steil (R-WI),diversified_core,REP BRYAN STEIL,direct,matched,person-name,98000.0,32
Rep. Bryan Steil (R-WI),diversified_core,REP. BRYAN G. STEIL,direct,matched,person-name,92500.0,42
Rep. Byron Donalds (R-FL),crypto_native,BYRON DONALDS,direct,matched,person-name,3300.0,1
Rep. Cathy McMorris Rodgers (R-WA),diversified_core,REP. CATHY MCMORRIS RODGERS,direct,matched,person-name,81000.0,27
Rep. Claudia Tenney (R-NY),crypto_native,REP. CLAUDIA TENNEY,direct,matched,person-name,1000.0,1
Rep. Claudia Tenney (R-NY),diversified_core,REP. CLAUDIA TENNEY,direct,matched,person-name,83000.0,41
Rep. Daniel Meuser (R-PA),crypto_native,REP. DANIEL MEUSER,direct,matched,person-name,1500.0,1
Rep. Daniel Meuser (R-PA),diversified_core,REP. DAN MEUSER,direct,matched,person-name,102750.0,40
Rep. Daniel Meuser (R-PA),diversified_core,REP DAN MEUSER,direct,matched,person-name,58000.0,20
Rep. Daniel S. Goldman (D-NY),crypto_native,REP. DAN GOLDMAN,direct,matched,person-name,500.0,1
Rep. Darin LaHood (R-IL),diversified_core,REP. DARIN LAHOOD,direct,matched,person-name,135685.0,44
Rep. Darin LaHood (R-IL),diversified_core,DARIN LAHOOD,direct,matched,person-name,83000.0,35
Rep. Darin LaHood (R-IL),diversified_core,REP DARIN LAHOOD,direct,matched,person-name,71500.0,26
Rep. Darren Soto (D-FL),crypto_native,DARREN SOTO,direct,matched,person-name,6500.0,3
Rep. Darren Soto (D-FL),crypto_native,REP. DARREN SOTO,direct,matched,person-name,4500.0,4
Rep. Darren Soto (D-FL),crypto_native,DARREN SOTO FOR CONGRESS,campaign-committee,linked,committee-exact/fec-ccl,2500.0,1
Rep. Dave Min (D-CA),crypto_native,REP. DAVE MIN,direct,matched,person-name,1000.0,2
