quarter,all_releases,crypto_releases,crypto_share_pct
2022-Q1,5041,25,0.5
2022-Q2,5114,8,0.16
2022-Q3,5223,15,0.29
2022-Q4,4324,10,0.23
2023-Q1,7899,39,0.49
2023-Q2,8015,26,0.32
2023-Q3,6885,42,0.61
2023-Q4,7450,20,0.27
2024-Q1,8772,28,0.32
2024-Q2,9476,64,0.68
2024-Q3,7902,40,0.51
2024-Q4,5433,22,0.4
2025-Q1,13772,124,0.9
2025-Q2,12775,173,1.35
2025-Q3,11147,126,1.13
2025-Q4,10624,57,0.54
2026-Q1,11466,80,0.7
