quarter,date,member_name,party,state,chamber,title,url,src_file,src_line
2022-Q1,2022-02-08,Blake D. Moore,Republican,UT,House,Congressman Blake Moore Appointed New Ranking Member of the House Committee on Natural Resources' Subcommittee on Oversight and Investigations,https://blakemoore.house.gov/media/press-releases/congressman-blake-moore-appointed-new-ranking-member-house-committee-natural,congress_press/2022/2022-02.jsonl,449
2022-Q1,2022-02-09,Kathy Castor,Democrat,FL,House,Rep. Castor + Florida Congressional Dems Urge FL Legislature: Keep and Expand Low-Cost Solar Power in the Sunshine State,https://castor.house.gov/news/documentsingle.aspx?DocumentID=403788,congress_press/2022/2022-02.jsonl,550
2022-Q1,2022-02-22,Lisa Murkowski,Republican,AK,Senate,Delegation Condemns Biden Administration Filing Against Alaska’s Ambler Road,https://www.murkowski.senate.gov/press/release/delegation-condemns-biden-administration-filing-against-alaskas-ambler-road,congress_press/2022/2022-02.jsonl,1154
2022-Q1,2022-02-22,Dan Sullivan,Republican,AK,Senate,Delegation Condemns Biden Administration Filing Against Alaska’s Ambler Road,https://www.sullivan.senate.gov/newsroom/press-releases/delegation-condemns-biden-administration-filing-against-alaskas-ambler-road,congress_press/2022/2022-02.jsonl,1157
2022-Q1,2022-02-24,Andy Barr,Republican,KY,House,"Rep. Barr Statement on Russia Invasion of Ukraine, Biden’s Missteps in Europe",https://barr.house.gov/press-releases?ID=6CAC99B2-7260-4B50-A733-DC7C77FD9E68,congress_press/2022/2022-02.jsonl,1225
2022-Q1,2022-03-01,Dan Newhouse,Republican,WA,House,Newhouse Introduces Legislation to Bolster American Energy Independence and Block Russia’s Attacks on Ukraine,https://newhouse.house.gov/media-center/press-releases/newhouse-introduces-legislation-bolster-american-energy-independence,congress_press/2022/2022-03.jsonl,101
2022-Q1,2022-03-01,Daniel Webster,Republican,FL,House,Webster Introduces American Energy Independence Bill,https://webster.house.gov/press-releases?ID=F88FFD92-CEAD-4CFD-BDA5-F2C8AD4C7BA3,congress_press/2022/2022-03.jsonl,149
2022-Q1,2022-03-01,Dan Sullivan,Republican,AK,Senate,"Sullivan, Colleagues Demand Biden Change Course on Failing Energy Policy as Prices Skyrocket at Home and Putin is Emboldened",https://www.sullivan.senate.gov/newsroom/press-releases/sullivan-colleagues-demand-biden-change-course-on-failing-energy-policy-as-prices-skyrocket-at-home-and-putin-is-emboldened,congress_press/2022/2022-03.jsonl,169
2022-Q1,2022-03-02,Lisa Murkowski,Republican,AK,Senate,ENR Republicans to Biden: Restore America’s Energy Dominance,https://www.murkowski.senate.gov/press/release/enr-republicans-to-biden-restore-americas-energy-dominance,congress_press/2022/2022-03.jsonl,270
2022-Q1,2022-03-04,Ted Cruz,Republican,TX,Senate,Sen. Cruz Introduces the Energy Freedom Act to Make America Energy Independent Again,https://www.cruz.senate.gov/newsroom/press-releases/sen-cruz-introduces-the-energy-freedom-act-to-make-america-energy-independent-again,congress_press/2022/2022-03.jsonl,427
2022-Q1,2022-03-08,Raul Ruiz,Democrat,CA,House,Ruiz Puts “Lithium Valley” in the National Spotlight,https://ruiz.house.gov/media-center/press-releases/ruiz-puts-lithium-valley-national-spotlight,congress_press/2022/2022-03.jsonl,598
2022-Q1,2022-03-09,Brian Schatz,Democrat,HI,Senate,"Schatz: Earmarks Are Back, Millions In New Federal Funding Heading To Organizations Across Hawai‘i",https://www.schatz.senate.gov/news/press-releases/schatz-earmarks-are-back-millions-in-new-federal-funding-heading-to-organizations-across-hawaii,congress_press/2022/2022-03.jsonl,773
2022-Q1,2022-03-10,Sean Casten,Democrat,IL,House,"Casten-Introduced Legislation Heads to President Biden’s Desk, Included in Omnibus Appropriations Funding Package:",https://casten.house.gov/media/press-releases/casten-introduced-legislation-heads-president-bidens-desk-included-omnibus,congress_press/2022/2022-03.jsonl,794
2022-Q1,2022-03-10,Russ Fulcher,Republican,ID,House,Idaho Delegation Encourages Secure Supply Chains for Critical Minerals,https://fulcher.house.gov/2022/03/10/id-0c6280b2-5e55-4562-8f2b-97364fd9ba2b/,congress_press/2022/2022-03.jsonl,831
2022-Q1,2022-03-10,Zoe Lofgren,Democrat,CA,House,Lofgren Secures Community Project Funding Totaling $7.5+M for CA-19 in Government Funding Legislation,https://lofgren.house.gov/media/press-releases/lofgren-secures-community-project-funding-totaling-75m-ca-19-government-funding,congress_press/2022/2022-03.jsonl,858
2022-Q1,2022-03-10,Brian Schatz,Democrat,HI,Senate,"Funding Bill Set To Become Law, Includes More Than $240 Million In New Earmark Funding Secured By Schatz",https://www.schatz.senate.gov/news/press-releases/funding-bill-set-to-become-law-includes-more-than-240-million-in-new-earmark-funding-secured-by-schatz,congress_press/2022/2022-03.jsonl,921
2022-Q1,2022-03-11,Mitch McConnell,Republican,KY,Senate,McConnell Secures Resources to Benefit Kentucky in this Year’s Congressional Funding Bill,https://www.mcconnell.senate.gov/public/index.cfm/pressreleases?ID=511DBAD4-DEF4-44E2-BBBE-DA14780AB9AC,congress_press/2022/2022-03.jsonl,1029
2022-Q1,2022-03-11,Lisa Murkowski,Republican,AK,Senate,"Senators Murkowski, Manchin, Risch and Cassidy Urge Administration to Meet Domestic Mineral Demand, Address Supply Chain Crisis",https://www.murkowski.senate.gov/press/release/senators-murkowski-manchin-risch-and-cassidy-urge-administration-to-meet-domestic-mineral-demand-address-supply-chain-crisis,congress_press/2022/2022-03.jsonl,1037
2022-Q1,2022-03-15,Mike Crapo,Republican,ID,Senate,Crapo Statement at Hearing on Strategic Trade Engagement in the Indo-Pacific Region,https://www.crapo.senate.gov/media/newsreleases/crapo-statement-at-hearing-on-strategic-trade-engagement-in-the-indo-pacific-region,congress_press/2022/2022-03.jsonl,1244
2022-Q1,2022-03-15,Mike Crapo,Republican,ID,Senate,Crapo: United States Must Chart Ambitious Trade Policy in the Indo-Pacific,https://www.crapo.senate.gov/media/newsreleases/crapo-united-states-must-chart-ambitious-trade-policy-in-the-indo-pacific,congress_press/2022/2022-03.jsonl,1246
2022-Q1,2022-03-16,Suzan K. DelBene,Democrat,WA,House,"DelBene, Bipartisan Members Introduce Bill to Boost Domestic Chip Production",https://delbene.house.gov/news/documentsingle.aspx?DocumentID=3062,congress_press/2022/2022-03.jsonl,1294
2022-Q1,2022-03-16,Michael T. McCaul,Republican,TX,House,"McCaul, Bipartisan Members introduce bill to boost domestic semiconductor manufacturing and design",https://mccaul.house.gov/media-center/press-releases/mccaul-bipartisan-members-introduce-bill-to-boost-domestic-semiconductor,congress_press/2022/2022-03.jsonl,1330
2022-Q1,2022-03-16,Mike Rounds,Republican,SD,Senate,"Rounds, Hagerty and Senate Colleagues Call on Biden Administration to Take Action to Lower Record-High Fertilizer Prices",https://www.rounds.senate.gov/newsroom/press-releases/rounds-hagerty-and-senate-colleagues-call-on-biden-administration-to-take-action-to-lower-record-high-fertilizer-prices-,congress_press/2022/2022-03.jsonl,1379
2022-Q1,2022-03-17,Mike Kelly,Republican,PA,House,Kelly and Bipartisan Members Introduce Facilitating American-Built Semiconductors Act,https://kelly.house.gov/media/press-releases/kelly-and-bipartisan-members-introduce-facilitating-american-built,congress_press/2022/2022-03.jsonl,1449
