quarter,all_releases,critmin_releases,critmin_share_pct
2022-Q1,5041,59,1.17
2022-Q2,5114,37,0.72
2022-Q3,5223,78,1.49
2022-Q4,4324,57,1.32
2023-Q1,7899,111,1.41
2023-Q2,8015,106,1.32
2023-Q3,6885,87,1.26
2023-Q4,7450,91,1.22
2024-Q1,8772,86,0.98
2024-Q2,9476,85,0.9
2024-Q3,7902,86,1.09
2024-Q4,5433,47,0.87
2025-Q1,13772,102,0.74
2025-Q2,12775,108,0.85
2025-Q3,11147,119,1.07
2025-Q4,10624,120,1.13
2026-Q1,11466,135,1.18
