bill,aipac_filings,first_year,last_year
HR9495,1,2024,2024
HR9747,1,2024,2024
HRES1068,1,2024,2024
HRES1099,1,2026,2026
HRES1102,1,2024,2024
HRES1123,1,2022,2022
HRES1143,1,2024,2024
HRES1160,1,2024,2024
HRES1323,1,2024,2024
HRES1397,1,2022,2022
HRES288,1,2024,2024
HRES492,1,2023,2023
HRES558,1,2022,2022
HRES599,1,2023,2023
HRES771,1,2023,2023
HRES793,1,2023,2023
HRES798,1,2023,2023
HRES883,1,2024,2024
HRES888,1,2023,2023
HRES966,1,2024,2024
HRES988,1,2022,2022
S1061,1,2022,2022
S1193,1,2022,2022
S1521,1,2025,2025
S1637,1,2022,2022
S1651,1,2022,2022
S2087,1,2025,2025
S2119,1,2022,2022
S2226,1,2023,2023
S2667,1,2026,2026
S2830,1,2022,2022
S3209,1,2022,2022
S3362,1,2023,2023
S3451,1,2025,2025
S3707,1,2024,2024
S3855,1,2026,2026
S3900,1,2026,2026
S5388,1,2024,2024
S5562,1,2024,2024
S558,1,2025,2025
S842,1,2025,2025
SCONRES47,1,2022,2022
SJRES136,1,2026,2026
SJRES137,1,2026,2026
SJRES138,1,2026,2026
SJRES19,1,2022,2022
SJRES20,1,2025,2025
SJRES21,1,2025,2025
SJRES22,1,2025,2025
SJRES23,1,2025,2025
SJRES25,1,2025,2025
SJRES27,1,2025,2025
SJRES32,1,2025,2025
SJRES35,1,2025,2025
SJRES40,1,2025,2025
SJRES42,1,2025,2025
SJRES59,1,2025,2025
SJRES70,1,2025,2025
SRES101,1,2025,2025
SRES212,1,2025,2025
SRES227,1,2025,2025
SRES299,1,2023,2023
SRES377,1,2022,2022
SRES417,1,2023,2023
SRES72,1,2025,2025
SRES803,1,2022,2022
