client,shared_distinctive_bills,filings_on_those_bills,bills
RUTGERS THE STATE UNIVERSITY OF NEW JERSEY,25,78,HR1048; HR4664; HR4665; HR4779; HR5166; HR5933; HR6000; HR6617; HR7147; HR8239; HR8282; HR8771; HR8773; HRES798; S2438; S2625; S3290; S3293; S3362; S4660; S4661; S4662; S4678; S4797; S4928
MOVEON.ORG CIVIC ACTION,25,37,HCONRES38; HR3565; HR5525; HR6408; HR8034; HR815; HR8369; HR9495; HR9649; HRES1099; HRES786; S2087; S5388; SJRES111; SJRES112; SJRES113; SJRES114; SJRES115; SJRES116; SJRES21; SJRES34; SJRES41; SJRES59; SJRES70; SRES504
HERITAGE ACTION FOR AMERICA,23,25,HJRES75; HR1048; HR23; HR4664; HR4665; HR5009; HR5525; HR5933; HR5947; HR5961; HR6126; HR6617; HR6679; HR7147; HR815; HR8282; HR8771; HR9374; HR9494; S4554; SJRES22; SJRES32; SJRES42
Planned Parenthood Federation of America,22,56,HJRES75; HR4664; HR4665; HR4779; HR5009; HR5166; HR5300; HR589; HR6201; HR6617; HR8190; HR8282; HR8771; HR8773; HR9495; S2438; S2625; S4554; S4662; S4797; S4928; SJRES41
AMNESTY INTERNATIONAL OF THE USA INC,20,24,HR23; HR3565; HR5300; HR7147; HR8282; HR9495; HR9649; SJRES111; SJRES112; SJRES113; SJRES114; SJRES115; SJRES116; SJRES26; SJRES32; SJRES33; SJRES34; SJRES35; SJRES51; SRES504
HUMAN RIGHTS CAMPAIGN,19,74,HR4664; HR4665; HR4779; HR5009; HR5166; HR5961; HR7147; HR8771; HR8773; HR9495; S2087; S2438; S2625; S3421; S4678; S4928; SJRES27; SJRES42; SRES408
General Dynamics,18,51,HJRES75; HR4664; HR4665; HR4779; HR5009; HR6617; HR8239; HR8282; HR8771; HR8773; HR9494; S2438; S2625; S4660; S4662; S4678; S4797; S4928
Delta Air Lines,17,54,HR4664; HR4665; HR5166; HR7147; HR8239; HR8282; HR8771; HR8773; S2625; S3290; S3293; S4660; S4661; S4662; S4678; S4797; S4928
REINSURANCE ASSN OF AMERICA,17,54,HJRES75; HR3099; HR4664; HR5166; HR5525; HR6365; HR6617; HR7147; HR8239; HR8773; HR9494; S2625; S3290; S3293; S4661; S4678; S4928
HUMAN RIGHTS FIRST,17,41,HR23; HR4665; HR5009; HR5525; HR6679; HR815; HR8282; HR8771; HR9495; HR9649; S2438; S2625; S4653; SJRES111; SJRES113; SJRES115; SJRES116
Anti-Defamation League,16,47,HR2748; HR5009; HR6015; HR6090; HR6408; HR815; HR8771; HR8773; HR9495; HRES798; HRES966; S1061; S4127; S4366; S558; SRES72
PLANNED PARENTHOOD ACTION FUND INC,16,26,HJRES75; HR4664; HR4665; HR4779; HR5009; HR5166; HR589; HR6617; HR8282; HR8771; HR8773; S2438; S2625; S4554; S4797; S4928
National Association of Mutual Insurance Companies,15,51,HR2531; HR2619; HR3099; HR5826; HR5933; HR5961; HR6201; HR6617; HR8771; HR8773; S1829; S3290; S3912; S4928; S558
"VOTEVETS ACTION FUND, INC.",15,19,HCONRES38; HR3774; HR4076; HR4665; HR5009; HR6000; HR815; HR8282; HR9494; HRES1397; S1829; SJRES115; SJRES116; SJRES59; SRES803
NCTA - The Internet & Television Association,14,41,HR1777; HR1848; HR3565; HR4664; HR6046; HR8239; HR8773; HR9494; S1651; S1829; S2625; S3197; S4661; S4928
UNIVERSITY OF CALIFORNIA,14,38,HR1048; HR2741; HR4779; HR5009; HR5933; HR6000; HR8239; HR8771; S2625; S3293; S3362; S4660; S4661; S4797
AMERICAN JEWISH COMMITTEE,14,16,HR2973; HR3103; HR4779; HR7645; HR8771; HRES793; S2413; SJRES34; SJRES41; SRES188; SRES299; SRES377; SRES408; SRES505
AMERICAN LUNG ASSOCIATION,13,36,HJRES69; HJRES75; HR1800; HR5525; HR6617; HR7645; HR8239; HR8773; HR9494; S1981; S4661; S4928; SRES462
RTX Corporation and Affiliates,13,32,HR3565; HR4665; HR4779; HR5323; HR8771; HR9494; S2438; S2625; S2830; S3293; S4660; S4678; S4797
"TEAM HALLAHAN LLC ON BEHALF OF AMAZON WEB SERVICES, INC.",13,29,HR4664; HR4665; HR8239; HR8282; HR8771; HR8773; S2438; S2625; S4660; S4661; S4662; S4797; S4928
DISABLED AMERICAN VETERANS,12,40,HR2531; HR5300; HR5917; HR6000; HR6322; HR6323; HR7256; HR815; S2087; S3209; S3290; S3293
AMERICAN FED OF GOVERNMENT EMPLOYEES AFL-CIO,12,30,HJRES75; HR4664; HR4665; HR5009; HR5525; HR6015; HR7147; HR8239; HR8282; HR8771; HR8773; HR9494
League of Conservation Voters,12,21,HJRES49; HJRES75; HR4664; HR4665; HR5009; HR5525; HR6408; HR8771; HR8773; HR9494; HR9495; S3451
AFL-CIO,12,19,HR4664; HR4665; HR5009; HR5166; HR5525; HR6617; HR7147; HR9494; HR9495; S2625; S3290; SJRES22
U.S. Global Leadership Campaign,11,41,HR4665; HR4779; HR8034; HR815; HR8239; HR8282; HR8771; S2438; S4661; S4662; S4797
Association of American Universities,11,33,HR1048; HR5166; HR5933; HR6000; HR7256; HR8239; S3290; S3293; S3362; S4660; S4661
TEAM HALLAHAN LLC (ON BEHALF OF DP FACILITIES INC.),11,31,HR4664; HR4665; HR8239; HR8282; HR8771; HR8773; S2438; S2625; S4678; S4797; S4928
EL PASO WATER UTILITIES -- PUBLIC SERVICE BOARD DBA EL PASO WATER,11,30,HR4665; HR4779; HR8239; HR8282; HR8771; S2438; S3293; S4660; S4661; S4662; S4797
SUSAN B ANTHONY LIST,11,17,HR2741; HR4664; HR4665; HR589; HR8282; HR8771; HRES883; S4554; S4678; S4797; SJRES41
Lockheed Martin Corporation,11,16,HR4665; HR5009; HR5525; HR5692; HR6126; HR815; HR8282; S2438; S2625; S4662; S4678
"DEMAND PROGRESS ACTION, INC",11,16,HCONRES38; HR3565; HR4664; HR5009; HR9495; SJRES116; SJRES138; SJRES32; SJRES33; SJRES34; SJRES51
GUN OWNERS OF AMERICA INC,10,53,HR2280; HR2531; HR4664; HR4665; HR5525; HR7540; S2438; S2625; S556; SJRES20
NATIONAL ASSN OF INDEPENDENT COLLEGES & UNIVERSITIES,10,47,HR1048; HR5009; HR5933; HR6090; HR6679; HRES798; S1802; S2625; S3362; SJRES22
Reinsurance Association of America,10,42,HJRES75; HR3099; HR4664; HR5525; HR6365; HR6617; HR8239; S2625; S4661; S4678
Amazon.com Services LLC,10,39,HR3152; HR4664; HR4891; HR5166; HR6000; HR8773; S3197; S3290; S3293; S3707
Competitive Carriers Association,10,36,HR1218; HR1848; HR3045; HR3565; HR5166; HR6046; S1651; S3290; S4661; S4928
DEFENDERS OF WILDLIFE,10,29,HJRES49; HR5525; HR7147; HR8239; HR9494; S1889; S2625; S4661; S4678; SJRES23
University of Alaska,10,29,HR1048; HR4664; HR5933; HR8239; HR8771; HR8773; S4660; S4661; S4797; S4928
National Alliance on Mental Illness,10,27,HR2590; HR2741; HR3103; HR3266; HR3907; HR6000; HR6408; HR6617; HR6679; S2336
