bill,filing_year,filing_period,reported_amount,filing_uuid,lda_public_url
HR3685,2022,third_quarter,640469,ab368ce0-f3f5-4fa6-b723-2de75b38f273,https://lda.senate.gov/filings/public/filing/ab368ce0-f3f5-4fa6-b723-2de75b38f273/print/
HR3774,2023,fourth_quarter,818273,6cd74118-447b-49ae-9d7d-373cd7d1f41d,https://lda.senate.gov/filings/public/filing/6cd74118-447b-49ae-9d7d-373cd7d1f41d/print/
HR3774,2023,second_quarter,704298,8a3a3991-070b-472e-9c9d-07659053e2dd,https://lda.senate.gov/filings/public/filing/8a3a3991-070b-472e-9c9d-07659053e2dd/print/
HR3774,2023,third_quarter,767812,97601671-6098-48b0-86a1-dcf1b6599956,https://lda.senate.gov/filings/public/filing/97601671-6098-48b0-86a1-dcf1b6599956/print/
HR3774,2024,first_quarter,837889,57ccdb62-3b64-40ee-8869-7e9278995ffc,https://lda.senate.gov/filings/public/filing/57ccdb62-3b64-40ee-8869-7e9278995ffc/print/
HR3792,2023,fourth_quarter,818273,6cd74118-447b-49ae-9d7d-373cd7d1f41d,https://lda.senate.gov/filings/public/filing/6cd74118-447b-49ae-9d7d-373cd7d1f41d/print/
HR3792,2023,second_quarter,704298,8a3a3991-070b-472e-9c9d-07659053e2dd,https://lda.senate.gov/filings/public/filing/8a3a3991-070b-472e-9c9d-07659053e2dd/print/
HR3792,2023,third_quarter,767812,97601671-6098-48b0-86a1-dcf1b6599956,https://lda.senate.gov/filings/public/filing/97601671-6098-48b0-86a1-dcf1b6599956/print/
HR3792,2024,first_quarter,837889,57ccdb62-3b64-40ee-8869-7e9278995ffc,https://lda.senate.gov/filings/public/filing/57ccdb62-3b64-40ee-8869-7e9278995ffc/print/
HR3792,2024,fourth_quarter,909953,c8ec224e-94fa-4f2f-bd77-1b8e07955e02,https://lda.senate.gov/filings/public/filing/c8ec224e-94fa-4f2f-bd77-1b8e07955e02/print/
HR3792,2024,second_quarter,786536,db033c64-6f06-4019-b7db-caaa264c3f50,https://lda.senate.gov/filings/public/filing/db033c64-6f06-4019-b7db-caaa264c3f50/print/
HR3792,2024,third_quarter,789890,5b1aab0b-7b01-42f0-99b9-e3a090b1a289,https://lda.senate.gov/filings/public/filing/5b1aab0b-7b01-42f0-99b9-e3a090b1a289/print/
HR3907,2023,fourth_quarter,818273,6cd74118-447b-49ae-9d7d-373cd7d1f41d,https://lda.senate.gov/filings/public/filing/6cd74118-447b-49ae-9d7d-373cd7d1f41d/print/
HR3907,2023,second_quarter,704298,8a3a3991-070b-472e-9c9d-07659053e2dd,https://lda.senate.gov/filings/public/filing/8a3a3991-070b-472e-9c9d-07659053e2dd/print/
HR3907,2023,third_quarter,767812,97601671-6098-48b0-86a1-dcf1b6599956,https://lda.senate.gov/filings/public/filing/97601671-6098-48b0-86a1-dcf1b6599956/print/
HR3907,2024,first_quarter,837889,57ccdb62-3b64-40ee-8869-7e9278995ffc,https://lda.senate.gov/filings/public/filing/57ccdb62-3b64-40ee-8869-7e9278995ffc/print/
HR3907,2024,fourth_quarter,909953,c8ec224e-94fa-4f2f-bd77-1b8e07955e02,https://lda.senate.gov/filings/public/filing/c8ec224e-94fa-4f2f-bd77-1b8e07955e02/print/
HR3907,2024,second_quarter,786536,db033c64-6f06-4019-b7db-caaa264c3f50,https://lda.senate.gov/filings/public/filing/db033c64-6f06-4019-b7db-caaa264c3f50/print/
HR3907,2024,third_quarter,789890,5b1aab0b-7b01-42f0-99b9-e3a090b1a289,https://lda.senate.gov/filings/public/filing/5b1aab0b-7b01-42f0-99b9-e3a090b1a289/print/
HR3935,2023,third_quarter,767812,97601671-6098-48b0-86a1-dcf1b6599956,https://lda.senate.gov/filings/public/filing/97601671-6098-48b0-86a1-dcf1b6599956/print/
HR4016,2025,fourth_quarter,973910,62a5b5e7-b60d-4dc7-a525-b0b2aa99d57f,https://lda.senate.gov/filings/public/filing/62a5b5e7-b60d-4dc7-a525-b0b2aa99d57f/print/
HR4016,2025,third_quarter,940000,33a4922e-6731-42fc-8fc1-58e737fa2a9a,https://lda.senate.gov/filings/public/filing/33a4922e-6731-42fc-8fc1-58e737fa2a9a/print/
HR4016,2026,first_quarter,844410,ad4e8e54-def8-4563-97c5-0ac5a0ca16a3,https://lda.senate.gov/filings/public/filing/ad4e8e54-def8-4563-97c5-0ac5a0ca16a3/print/
HR4076,2023,fourth_quarter,818273,6cd74118-447b-49ae-9d7d-373cd7d1f41d,https://lda.senate.gov/filings/public/filing/6cd74118-447b-49ae-9d7d-373cd7d1f41d/print/
HR4076,2023,second_quarter,704298,8a3a3991-070b-472e-9c9d-07659053e2dd,https://lda.senate.gov/filings/public/filing/8a3a3991-070b-472e-9c9d-07659053e2dd/print/
HR4076,2023,third_quarter,767812,97601671-6098-48b0-86a1-dcf1b6599956,https://lda.senate.gov/filings/public/filing/97601671-6098-48b0-86a1-dcf1b6599956/print/
HR4076,2024,first_quarter,837889,57ccdb62-3b64-40ee-8869-7e9278995ffc,https://lda.senate.gov/filings/public/filing/57ccdb62-3b64-40ee-8869-7e9278995ffc/print/
HR4076,2024,fourth_quarter,909953,c8ec224e-94fa-4f2f-bd77-1b8e07955e02,https://lda.senate.gov/filings/public/filing/c8ec224e-94fa-4f2f-bd77-1b8e07955e02/print/
HR4076,2024,second_quarter,786536,db033c64-6f06-4019-b7db-caaa264c3f50,https://lda.senate.gov/filings/public/filing/db033c64-6f06-4019-b7db-caaa264c3f50/print/
HR4076,2024,third_quarter,789890,5b1aab0b-7b01-42f0-99b9-e3a090b1a289,https://lda.senate.gov/filings/public/filing/5b1aab0b-7b01-42f0-99b9-e3a090b1a289/print/
HR4121,2025,fourth_quarter,973910,62a5b5e7-b60d-4dc7-a525-b0b2aa99d57f,https://lda.senate.gov/filings/public/filing/62a5b5e7-b60d-4dc7-a525-b0b2aa99d57f/print/
HR4121,2025,third_quarter,940000,33a4922e-6731-42fc-8fc1-58e737fa2a9a,https://lda.senate.gov/filings/public/filing/33a4922e-6731-42fc-8fc1-58e737fa2a9a/print/
HR4121,2026,first_quarter,844410,ad4e8e54-def8-4563-97c5-0ac5a0ca16a3,https://lda.senate.gov/filings/public/filing/ad4e8e54-def8-4563-97c5-0ac5a0ca16a3/print/
HR4213,2025,fourth_quarter,973910,62a5b5e7-b60d-4dc7-a525-b0b2aa99d57f,https://lda.senate.gov/filings/public/filing/62a5b5e7-b60d-4dc7-a525-b0b2aa99d57f/print/
HR4213,2025,third_quarter,940000,33a4922e-6731-42fc-8fc1-58e737fa2a9a,https://lda.senate.gov/filings/public/filing/33a4922e-6731-42fc-8fc1-58e737fa2a9a/print/
HR4213,2026,first_quarter,844410,ad4e8e54-def8-4563-97c5-0ac5a0ca16a3,https://lda.senate.gov/filings/public/filing/ad4e8e54-def8-4563-97c5-0ac5a0ca16a3/print/
HR4230,2022,first_quarter,690388,50f2ebbc-a514-4e23-b929-5c4198c7c203,https://lda.senate.gov/filings/public/filing/50f2ebbc-a514-4e23-b929-5c4198c7c203/print/
HR4291,2025,fourth_quarter,973910,62a5b5e7-b60d-4dc7-a525-b0b2aa99d57f,https://lda.senate.gov/filings/public/filing/62a5b5e7-b60d-4dc7-a525-b0b2aa99d57f/print/
HR4346,2022,fourth_quarter,741474,6303ae26-7164-4b27-9bde-98f46f66a807,https://lda.senate.gov/filings/public/filing/6303ae26-7164-4b27-9bde-98f46f66a807/print/
HR4346,2022,third_quarter,640469,ab368ce0-f3f5-4fa6-b723-2de75b38f273,https://lda.senate.gov/filings/public/filing/ab368ce0-f3f5-4fa6-b723-2de75b38f273/print/
HR4365,2023,fourth_quarter,818273,6cd74118-447b-49ae-9d7d-373cd7d1f41d,https://lda.senate.gov/filings/public/filing/6cd74118-447b-49ae-9d7d-373cd7d1f41d/print/
