quarter,all_releases,pardon_releases,pardon_share_pct
2022-Q1,5041,2,0.04
2022-Q2,5114,4,0.08
2022-Q3,5223,8,0.15
2022-Q4,4324,13,0.3
2023-Q1,7899,4,0.05
2023-Q2,8015,12,0.15
2023-Q3,6885,4,0.06
2023-Q4,7450,8,0.11
2024-Q1,8772,2,0.02
2024-Q2,9476,17,0.18
2024-Q3,7902,8,0.1
2024-Q4,5433,34,0.63
2025-Q1,13772,156,1.13
2025-Q2,12775,55,0.43
2025-Q3,11147,55,0.49
2025-Q4,10624,72,0.68
2026-Q1,11466,132,1.15
