quarter,date,member_name,party,state,title,url,src_file,src_line
2022-Q1,2022-01-11,"Earl L. ""Buddy"" Carter",Republican,GA,Carter's response to Biden's Atlanta address,https://buddycarter.house.gov/news/documentsingle.aspx?DocumentID=8705,congress_press/2022/2022-01.jsonl,237
2022-Q1,2022-01-28,Brian Schatz,Democrat,HI,Schatz Urges Biden To Commute Native American Activist Leonard Peltier’s Sentence,https://www.schatz.senate.gov/news/press-releases/schatz-urges-biden-to-commute-native-american-activist-leonard-peltiers-sentence,congress_press/2022/2022-01.jsonl,1150
2022-Q2,2022-04-27,"Jesús G. ""Chuy"" García",Democrat,IL,Rep. García Joins Colleagues Calling on President Biden to Pardon Environmental Lawyer Steven Donziger,https://chuygarcia.house.gov/media/press-releases/rep-garcia-joins-colleagues-calling-on-president-biden-to-pardon-environmental-lawyer-steven-donziger,congress_press/2022/2022-04.jsonl,1213
2022-Q2,2022-04-27,Mitch McConnell,Republican,KY,Surging Violent Crime Hurting Louisville and Cities Across America,https://www.mcconnell.senate.gov/public/index.cfm/pressreleases?ID=B46A145D-5B9C-4617-B920-2ACC3401E3D7,congress_press/2022/2022-04.jsonl,1284
2022-Q2,2022-05-20,J. Luis Correa,Democrat,CA,Weekly Wrap Up,https://correa.house.gov/news/press-releases/05/20/2022/weekly-wrap-up,congress_press/2022/2022-05.jsonl,1202
2022-Q2,2022-05-31,Mazie K. Hirono,Democrat,HI,Hirono Urges Biden to Commute the Sentence of Native American Activist Leonard Peltier,https://www.hirono.senate.gov/news/press-releases/hirono-urges-biden-to-commute-the-sentence-of-native-american-activist-leonard-peltier,congress_press/2022/2022-05.jsonl,1595
2022-Q3,2022-07-11,Clay Higgins,Republican,LA,"Higgins, GOP Colleagues Demand Answers on ICE’s Failure to Prosecute Immigration Cases",https://clayhiggins.house.gov/2022/07/11/higgins-gop-colleagues-demand-answers-ices-failure-prosecute-immigration-cases/,congress_press/2022/2022-07.jsonl,276
2022-Q3,2022-07-12,Gregory F. Murphy,Republican,NC,"Murphy Co-Sponsors NDAA Amendments to Protect Service Members from Military Court Injustice, End Vaccine Mandates",https://murphy.house.gov/media/press-releases/murphy-co-sponsors-ndaa-amendments-protect-service-members-military-court,congress_press/2022/2022-07.jsonl,339
2022-Q3,2022-07-14,Dan Sullivan,Republican,AK,SPEECH: Sullivan speaks about Alaska's Willow project,https://www.sullivan.senate.gov/newsroom/speeches/speech-sullivan-speaks-about-alaskas-willow-project,congress_press/2022/2022-07.jsonl,670
2022-Q3,2022-07-15,Dan Sullivan,Republican,AK,Sullivan Says Biden’s Equity Agenda Too Often Ignores Alaska Natives,https://www.sullivan.senate.gov/newsroom/press-releases/sullivan-says-bidens-equity-agenda-too-often-ignores-alaska-natives,congress_press/2022/2022-07.jsonl,819
2022-Q3,2022-09-14,David Schweikert,Republican,AZ,House Unanimously Passes Congressman Schweikert’s Bill to Honor Dr. C.T Wright,https://schweikert.house.gov/2022/09/14/house-unanimously-passes-congressman-schweikerts-bill-to-honor-dr-c-t-wright/,congress_press/2022/2022-09.jsonl,565
2022-Q3,2022-09-16,Eleanor Holmes Norton,Democrat,DC,Norton Announces Markup of Her Bill Expanding D.C. Home Rule,https://norton.house.gov/media-center/press-releases/norton-announces-markup-of-her-bill-expanding-dc-home-rule,congress_press/2022/2022-09.jsonl,762
2022-Q3,2022-09-19,Eleanor Holmes Norton,Democrat,DC,Norton Releases Statement Ahead of Markup on Her Bill Expanding D.C. Home Rule,https://norton.house.gov/media-center/press-releases/norton-releases-statement-ahead-of-markup-on-her-bill-expanding-dc-home,congress_press/2022/2022-09.jsonl,840
2022-Q3,2022-09-20,Eleanor Holmes Norton,Democrat,DC,Norton Announces Committee Passage of Her D.C. Home Rule Expansion Act,https://norton.house.gov/media-center/press-releases/norton-announces-committee-passage-of-her-dc-home-rule-expansion-act,congress_press/2022/2022-09.jsonl,928
2022-Q4,2022-10-06,Joyce Beatty,Democrat,OH,Beatty Applauds Biden Cannabis Announcement,https://beatty.house.gov/media-center/press-releases/beatty-applauds-biden-cannabis-announcement,congress_press/2022/2022-10.jsonl,172
2022-Q4,2022-10-06,John Garamendi,Democrat,CA,Garamendi’s Statement on President Biden Pardoning All Federal Marijuana Possession Offenses,https://garamendi.house.gov/media/press-releases/garamendi-s-statement-president-biden-pardoning-all-federal-marijuana,congress_press/2022/2022-10.jsonl,188
2022-Q4,2022-10-06,Ilhan Omar,Democrat,MN,Rep. Omar Statement on President Biden's Action on Marijuana Offenses,https://omar.house.gov/media/press-releases/rep-omar-statement-president-bidens-action-marijuana-offenses,congress_press/2022/2022-10.jsonl,201
2022-Q4,2022-10-06,Nancy Pelosi,Democrat,CA,Pelosi Statement on President Biden’s Historic Marijuana Reform,https://pelosi.house.gov/news/press-releases/pelosi-statement-on-president-biden-s-historic-marijuana-reform,congress_press/2022/2022-10.jsonl,203
2022-Q4,2022-10-06,Troy A. Carter,Democrat,LA,Congressman Carter Statement on Presidential Pardons for Simple Marijuana Convictions,https://troycarter.house.gov/media/press-releases/congressman-carter-statement-presidential-pardons-simple-marijuana-convictions,congress_press/2022/2022-10.jsonl,215
2022-Q4,2022-10-06,Cory A. Booker,Democrat,NJ,Booker Statement on President Biden’s Executive Order on Cannabis,https://www.booker.senate.gov/news/press/booker-statement-on-president-bidens-executive-order-on-cannabis,congress_press/2022/2022-10.jsonl,218
2022-Q4,2022-10-07,Bonnie Watson Coleman,Democrat,NJ,"Congresswomen Watson Coleman, Bush Release Joint Statement on President Biden’s Actions on Federal Marijuana Offenses",https://watsoncoleman.house.gov/newsroom/press-releases/congresswomen-watson-coleman-bush-release-joint-statement-on-president-bidens-actions-on-federal-marijuana-offenses,congress_press/2022/2022-10.jsonl,275
2022-Q4,2022-10-11,Adriano Espaillat,Democrat,NY,STATEMENT FROM REPRESENTATIVE ADRIANO ESPAILLAT ON PRESIDENT BIDEN'S EFFORTS TO PARDON FEDERAL OFFENSES OF SIMPLE MARIJUANA POSSESSION,https://espaillat.house.gov/media/press-releases/statement-representative-adriano-espaillat-president-bidens-efforts-pardon,congress_press/2022/2022-10.jsonl,320
2022-Q4,2022-10-12,Eleanor Holmes Norton,Democrat,DC,"After Marijuana Pardons, Norton Calls on Biden Administration to Reverse Position on D.C. Marijuana Rider and to Support Giving D.C. Clemenc",https://norton.house.gov/media-center/press-releases/after-marijuana-pardons-norton-calls-on-biden-administration-to-reverse,congress_press/2022/2022-10.jsonl,389
2022-Q4,2022-11-15,"Jesús G. ""Chuy"" García",Democrat,IL,"García, Ocasio-Cortez, and Omar Lead Letter Calling on President Biden to Extend Marijuana Pardon to Immigrants",https://chuygarcia.house.gov/media/press-releases/garcia-ocasio-cortez-and-omar-lead-letter-calling-on-president-biden-to-extend-marijuana-pardon-to-immigrants,congress_press/2022/2022-11.jsonl,358
2022-Q4,2022-11-15,Ilhan Omar,Democrat,MN,"Reps. Ocasio-Cortez, Omar, and Jesús G. ""Chuy"" García Lead Letter Calling on President Bidn to Extend Marijuana Pardon to Immigrants",https://omar.house.gov/media/press-releases/reps-ocasio-cortez-omar-and-jesus-g-chuy-garcia-lead-letter-calling-president,congress_press/2022/2022-11.jsonl,371
2022-Q4,2022-11-29,Mazie K. Hirono,Democrat,HI,"Hirono, Colleagues Urge President Biden to Commute Native American Activist Leonard Peltier’s Sentence",https://www.hirono.senate.gov/news/press-releases/hirono-colleagues-urge-president-biden-to-commute-native-american-activist-leonard-peltiers-sentence,congress_press/2022/2022-11.jsonl,1201
2022-Q4,2022-11-30,Brian Schatz,Democrat,HI,Schatz Leads Group Of 7 Senators Urging President Biden To Commute Native American Activist Leonard Peltier’s Sentence,https://www.schatz.senate.gov/news/press-releases/schatz-leads-group-of-7-senators-urging-president-biden-to-commute-native-american-activist-leonard-peltiers-sentence,congress_press/2022/2022-11.jsonl,1306
2023-Q1,2023-02-06,John Fetterman,Democrat,PA,Fetterman Announces Dennis Horton as SOTU Guest,https://www.fetterman.senate.gov/fetterman-announces-dennis-horton-as-sotu-guest/,congress_press/2023/2023-02.jsonl,671
2023-Q1,2023-02-15,Todd Young,Republican,IN,Young Commemorates Abraham Lincoln’s Birthday and Hoosier Roots,https://www.young.senate.gov/newsroom/press-releases/young-commemorates-abraham-lincolns-birthday-and-hoosier-roots/,congress_press/2023/2023-02.jsonl,1779
2023-Q1,2023-02-17,Andy Biggs,Republican,AZ,Congressman Biggs: The Esformes Case Further Proves How the DOJ Has Crossed The Rubicon,https://biggs.house.gov/media/press-releases/congressman-biggs-esformes-case-further-proves-how-doj-has-crossed-rubicon,congress_press/2023/2023-02.jsonl,1899
2023-Q1,2023-02-17,Mark DeSaulnier,Democrat,CA,"Representatives DeSaulnier, Lee, and Garamendi Introduce Resolution to Right Historic Injustice with Exoneration of Port Chicago 50",https://desaulnier.house.gov/media-center/press-releases/representatives-desaulnier-lee-and-garamendi-introduce-resolution-right,congress_press/2023/2023-02.jsonl,1913
2023-Q2,2023-04-10,Greg Casar,Democrat,TX,NEWS: Congressman Greg Casar on Abbott’s Intent to Pardon Daniel Perry,https://casar.house.gov/media/press-releases/news-congressman-greg-casar-abbotts-intent-pardon-daniel-perry,congress_press/2023/2023-04.jsonl,436
2023-Q2,2023-04-28,Joaquin Castro,Democrat,TX,"Castro, Espaillat, Padilla Introduce Landmark Legislation to Remove Unjust Barriers to Citizenship and Prevent Unfair Deportations",https://castro.house.gov/media-center/press-releases/castro-espaillat-padilla-introduce-landmark-legislation-to-remove-unjust-barriers-to-citizenship-and-prevent-unfair-deportations,congress_press/2023/2023-04.jsonl,2128
2023-Q2,2023-05-01,Adriano Espaillat,Democrat,NY,"Espaillat, Castro, Padilla Reintroduce Landmark Legislation to Remove Unjust Barriers to Citizenship and Prevent Unfair Deportations",https://espaillat.house.gov/media/press-releases/espaillat%C2%A0castro-padilla-reintroduce-landmark-legislation-remove-unjust,congress_press/2023/2023-05.jsonl,16
2023-Q2,2023-05-09,Jamie Raskin,Democrat,MD,"Raskin Address on “Democracy, Gun Violence and the ‘Insurrectionist’ Theory of the Second Amendment” at the Library of Congress, May 8, 2023",https://raskin.house.gov/2023/5/raskin-address-on-democracy-gun-violence-and-the-insurrectionist-theory-of-the-second-amendment-at-the-library-of-congress-may-8-2023,congress_press/2023/2023-05.jsonl,645
2023-Q2,2023-05-11,John Fetterman,Democrat,PA,Fetterman Grills Witness on Weed Legalization at Banking Hearing,https://www.fetterman.senate.gov/fetterman-grills-witness-on-weed-legalization-at-banking-hearing/,congress_press/2023/2023-05.jsonl,1041
2023-Q2,2023-05-16,Jamie Raskin,Democrat,MD,Rep. Raskin Announces Sponsorship of Nigerian Prisoner of Conscience Mubarak Bala,https://raskin.house.gov/2023/5/rep-raskin-announces-sponsorship-of-nigerian-prisoner-of-conscience-mubarak-bala,congress_press/2023/2023-05.jsonl,1418
2023-Q2,2023-05-19,Ilhan Omar,Democrat,MN,Rep. Ilhan Omar Statement on U.S. Drone Strike Killing Civilian in Syria,https://omar.house.gov/media/press-releases/rep-ilhan-omar-statement-us-drone-strike-killing-civilian-syria,congress_press/2023/2023-05.jsonl,1901
2023-Q2,2023-05-22,Yvette D. Clarke,Democrat,NY,CLARKE LEADS LETTER TO PRESIDENT BIDEN CALLING FOR THE EXONERATION OF MARCUS GARVEY,https://clarke.house.gov/clarke-leads-letter-to-president-biden-calling-for-the-exoneration-of-marcus-garvey/,congress_press/2023/2023-05.jsonl,1970
2023-Q2,2023-05-25,Jamie Raskin,Democrat,MD,Rep. Raskin Demands Nigerian President Free Prisoner of Conscience Mubarak Bala,https://raskin.house.gov/2023/5/rep-raskin-demands-nigerian-president-free-prisoner-of-conscience-mubarak-bala,congress_press/2023/2023-05.jsonl,2444
2023-Q2,2023-06-01,Eleanor Holmes Norton,Democrat,DC,Norton Reintroduces Her Bill to Give D.C. Authority to Grant Clemency to Offenders Convicted Under Local D.C. Laws,https://norton.house.gov/media/press-releases/norton-reintroduces-her-bill-give-dc-authority-grant-clemency-offenders,congress_press/2023/2023-06.jsonl,58
2023-Q2,2023-06-09,Jamie Raskin,Democrat,MD,Raskin Leads Letter to Nigeria’s New President Urging Release of Political Prisoner Mubarak Bala,https://raskin.house.gov/2023/6/raskin-leads-letter-to-nigeria-s-new-president-urging-release-of-political-prisoner-mubarak-bala,congress_press/2023/2023-06.jsonl,702
2023-Q2,2023-06-21,Maxwell Frost,Democrat,FL,"ICYMI: Reps. Frost and Wilson Call on President Biden to Pardon Civil Rights Leader, Nobel Peace Prize Nominee Desmond Meade",https://frost.house.gov/media/press-releases/icymi-reps-frost-and-wilson-call-president-biden-pardon-civil-rights-leader,congress_press/2023/2023-06.jsonl,1609
2023-Q3,2023-07-27,Jamie Raskin,Democrat,MD,"Raskin, Mace Introduce Legislation To Allow Cannabis Users Access to Federal Employment, Security Clearances",https://raskin.house.gov/2023/7/raskin-mace-introduce-legislation-to-allow-cannabis-users-access-to-federal-employment-security-clearances,congress_press/2023/2023-07.jsonl,2181
2023-Q3,2023-07-28,Christopher Murphy,Democrat,CT,Murphy Leads 10 Senators in Urging Biden Administration to Withhold Military Aid to Egypt Given Human Rights Concerns,https://www.murphy.senate.gov/newsroom/press-releases/murphy-leads-10-senators-in-urging-biden-administration-to-withhold-military-aid-to-egypt-given-human-rights-concerns,congress_press/2023/2023-07.jsonl,2478
2023-Q3,2023-07-28,Chris Van Hollen,Democrat,MD,"Van Hollen, Murphy, Colleagues Urge Biden Administration to Withhold Military Aid to Egypt Given Human Rights Concerns",https://www.vanhollen.senate.gov/news/press-releases/van-hollen-murphy-colleagues-urge-biden-administration-to-withhold-military-aid-to-egypt-given-human-rights-concerns,congress_press/2023/2023-07.jsonl,2500
2023-Q3,2023-09-20,Jamie Raskin,Democrat,MD,Rep. Raskin’s CURE Act Passes Through Oversight Committee with Bipartisan Support,https://raskin.house.gov/2023/9/rep-raskin-s-cure-act-passes-through-oversight-committee-with-bipartisan-support,congress_press/2023/2023-09.jsonl,1441
2023-Q4,2023-10-05,David Schweikert,Republican,AZ,Schweikert Honors Dr. C.T. Wright at Fountain Hills Post Office Dedication Ceremony,https://schweikert.house.gov/2023/10/05/schweikert-honors-dr-c-t-wright-at-fountain-hills-post-office-dedication-ceremony/,congress_press/2023/2023-10.jsonl,384
2023-Q4,2023-10-17,Summer L. Lee,Democrat,PA,Civil Rights Groups Join Summer Lee's Call for House Republicans to Reject White Supremacist Antisemite as Speaker Amid Votes,https://summerlee.house.gov/newsroom/press-releases/civil-rights-groups-join-summer-lee-s-call-for-house-republicans-to-reject-white-supremacist-antisemite-as-speaker-amid-votes,congress_press/2023/2023-10.jsonl,1123
2023-Q4,2023-10-17,Summer L. Lee,Democrat,PA,Summer Lee Once Again Calls on House Republicans to Reject White Supremacist Antisemite as Speaker,https://summerlee.house.gov/newsroom/press-releases/summer-lee-once-again-calls-on-house-republicans-to-reject-white-supremacist-antisemite-as-speaker,congress_press/2023/2023-10.jsonl,1125
2023-Q4,2023-10-18,Summer L. Lee,Democrat,PA,Former U.S. Capitol Police Staff Sgt. Aquilino Gonell Joins Civil Rights Groups & Summer Lee’s Call for House Republicans to Reject Election,https://summerlee.house.gov/newsroom/press-releases/former-us-capitol-police-staff-sgt-aquilino-gonell-joins-civil-rights-groups-summer-lee-s-call-for-house-republicans-to-reject-election-denying-white-supremacist-antisemite-as-speaker,congress_press/2023/2023-10.jsonl,1228
2023-Q4,2023-10-25,Summer L. Lee,Democrat,PA,Summer Lee Votes No on Dangerous Right-Wing Speaker Mike Johnson,https://summerlee.house.gov/newsroom/press-releases/summer-lee-votes-no-on-dangerous-right-wing-speaker-mike-johnson,congress_press/2023/2023-10.jsonl,1973
2023-Q4,2023-11-15,Ted Cruz,Republican,TX,"Sens. Cruz, Risch, Colleagues Demand Biden Administration Enforce Sanctions on Maduro Regime",https://www.cruz.senate.gov/newsroom/press-releases/sens-cruz-risch-colleagues-demand-biden-administration-enforce-sanctions-on-maduro-regime,congress_press/2023/2023-11.jsonl,1613
2023-Q4,2023-12-19,Nick LaLota,Republican,NY,"LaLota Visits Navy LT Ridge Alkonis in Prison, Calls for His Immediate Release",https://lalota.house.gov/media/press-releases/lalota-visits-navy-lt-ridge-alkonis-prison-calls-his-immediate-release,congress_press/2023/2023-12.jsonl,1922
2023-Q4,2023-12-22,Troy A. Carter,Democrat,LA,Rep. Carter Commends President Biden’s New Marijuana Pardons,https://troycarter.house.gov/media/press-releases/rep-carter-commends-president-bidens-new-marijuana-pardons,congress_press/2023/2023-12.jsonl,2270
2024-Q1,2024-01-30,John Fetterman,Democrat,PA,"Fetterman, Warren Lead Senators in New Letter Urging Biden Administration to Swiftly Deschedule Marijuana",https://www.fetterman.senate.gov/fetterman-warren-lead-senators-in-new-letter-urging-biden-administration-to-swiftly-deschedule-marijuana/,congress_press/2024/2024-01.jsonl,2167
2024-Q1,2024-02-08,Christopher Murphy,Democrat,CT,Murphy: By And Large Our Middle East Policy Is Stuck In 1989,https://www.murphy.senate.gov/newsroom/press-releases/murphy-by-and-large-our-middle-east-policy-is-stuck-in-1989,congress_press/2024/2024-02.jsonl,899
2024-Q2,2024-04-17,Summer L. Lee,Democrat,PA,"Rep. Lee Announces Her Office Has Cleared 2,000 Casework Requests Resolved",https://summerlee.house.gov/newsroom/press-releases/rep-lee-announces-her-office-has-cleared-2000-casework-requests-resolved,congress_press/2024/2024-04.jsonl,1612
2024-Q2,2024-04-25,Elizabeth Warren,Democrat,MA,"Warren, Fetterman, Schumer, Blumenauer, Lee, 16 Lawmakers to DEA: Move Swiftly to Reschedule Marijuana",https://www.warren.senate.gov/oversight/letters/warren-fetterman-schumer-blumenauer-lee-16-lawmakers-to-dea-move-swiftly-to-reschedule-marijuana,congress_press/2024/2024-04.jsonl,2681
2024-Q2,2024-04-26,"Robert C. ""Bobby"" Scott",Democrat,VA,"Scott, DeSaulnier Urge DOJ to Enforce PREA, Address Rampant Sexual Abuse at FCI Dublin",https://bobbyscott.house.gov/media-center/press-releases/scott-desaulnier-urge-doj-enforce-prea-address-rampant-sexual-abuse-fci,congress_press/2024/2024-04.jsonl,2689
2024-Q2,2024-04-26,Mark DeSaulnier,Democrat,CA,"Scott, DeSaulnier Urge DOJ to Enforce PREA, Address Rampant Sexual Abuse at FCI Dublin",https://desaulnier.house.gov/media-center/press-releases/scott-desaulnier-urge-doj-enforce-prea-address-rampant-sexual-abuse-fci,congress_press/2024/2024-04.jsonl,2701
2024-Q2,2024-04-30,Chuck Grassley,Republican,IA,Grassley Highlights Nexus Between Chinese Money Laundering and State-Sanctioned Marijuana at Senate Drug Caucus Hearing,https://www.grassley.senate.gov/news/news-releases/grassley-highlights-nexus-between-chinese-money-laundering-and-state-sanctioned-marijuana-at-senate-drug-caucus-hearing,congress_press/2024/2024-04.jsonl,3015
2024-Q2,2024-05-02,Sydney Kamlager-Dove,Democrat,CA,DEA Proposes Rescheduling of Marijuana Following Kamlager-Dove Letter,https://kamlager-dove.house.gov/media/press-releases/dea-proposes-rescheduling-marijuana-following-kamlager-dove-letter,congress_press/2024/2024-05.jsonl,263
2024-Q2,2024-05-16,Steven Horsford,Democrat,NV,Horsford Applauds Rescheduling of Marijuana to Correct Longstanding Injustices,https://horsford.house.gov/media/press-releases/horsford-applauds-rescheduling-of-marijuana-to-correct-longstanding-injustices,congress_press/2024/2024-05.jsonl,1896
2024-Q2,2024-05-17,Lizzie Fletcher,Democrat,TX,Congresswoman Lizzie Fletcher on Governor Greg Abbott’s Pardon of Convicted Murderer Daniel Perry,https://fletcher.house.gov/news/documentsingle.aspx?DocumentID=5314,congress_press/2024/2024-05.jsonl,2093
2024-Q2,2024-05-21,Daniel S. Goldman,Democrat,NY,Congressman Dan Goldman Urges Biden Administration to Pardon Non-Violent Cannabis Offenses,https://goldman.house.gov/media/press-releases/congressman-dan-goldman-urges-biden-administration-pardon-non-violent-cannabis,congress_press/2024/2024-05.jsonl,2376
2024-Q2,2024-05-29,Stacey E. Plaskett,Democrat,VI,PLASKETT ACCOMPANIES BIDEN ON AIR FORCE ONE,https://plaskett.house.gov/news/documentsingle.aspx?DocumentID=4470,congress_press/2024/2024-05.jsonl,3196
2024-Q2,2024-06-11,Chrissy Houlahan,Democrat,PA,Houlahan Calls for Removal of Reps. Jackson and Perry from Intel Committee,https://houlahan.house.gov/news/documentsingle.aspx?DocumentID=4086,congress_press/2024/2024-06.jsonl,857
2024-Q2,2024-06-11,Jared Huffman,Democrat,CA,Congressional Leaders Form Task Force to Counter Project 2025 and Defend Democracy,https://huffman.house.gov/media-center/press-releases/congressional-leaders-form-task-force-to-counter-project-2025-and-defend-democracy,congress_press/2024/2024-06.jsonl,858
2024-Q2,2024-06-13,Claudia Tenney,Republican,NY,Congresswoman Tenney Demands Governor Hochul Pardon President Trump,https://tenney.house.gov/media/press-releases/congresswoman-tenney-demands-governor-hochul-pardon-president-trump,congress_press/2024/2024-06.jsonl,1224
2024-Q2,2024-06-20,Kweisi Mfume,Democrat,MD,"What People Are Saying About Governor Moore’s Historic Executive Order Pardoning 175,000 Maryland Cannabis Convictions",https://mfume.house.gov/media/press-releases/what-people-are-saying-about-governor-moore-s-historic-executive-order-pardoning-175000-maryland-cannabis-convictions,congress_press/2024/2024-06.jsonl,1932
2024-Q2,2024-06-26,Debbie Wasserman Schultz,Democrat,FL,Wasserman Schultz Applauds President Biden Pardon of LGBTQI+ Servicemembers,https://wassermanschultz.house.gov/news/documentsingle.aspx?DocumentID=3222,congress_press/2024/2024-06.jsonl,2477
2024-Q2,2024-06-26,Brian Schatz,Democrat,HI,Schatz Statement On President Biden’s Pardon Of Wrongly Convicted LGBTQI+ Veterans,https://www.schatz.senate.gov/news/press-releases/schatz-statement-on-president-bidens-pardon-of-wrongly-convicted-lgbtqi-veterans,congress_press/2024/2024-06.jsonl,2514
2024-Q2,2024-06-28,Jennifer L. McClellan,Democrat,VA,"McClellan, Takano Introduce Resolution to Formally Apologize to LGBTQ+ Service Members",https://mcclellan.house.gov/media/press-releases/mcclellan-takano-introduce-resolution-formally-apologize-lgbtq-service-members,congress_press/2024/2024-06.jsonl,2807
2024-Q3,2024-07-01,Lloyd Doggett,Democrat,TX,Rep. Doggett's Statement on Supreme Court Trump Immunity Ruling,https://doggett.house.gov/media/press-releases/rep-doggetts-statement-supreme-court-trump-immunity-ruling,congress_press/2024/2024-07.jsonl,27
2024-Q3,2024-07-01,Jennifer L. McClellan,Democrat,VA,McClellan Statement on Supreme Court’s Presidential Immunity Decision,https://mcclellan.house.gov/media/press-releases/mcclellan-statement-supreme-courts-presidential-immunity-decision,congress_press/2024/2024-07.jsonl,73
2024-Q3,2024-07-01,Jamie Raskin,Democrat,MD,Rep. Raskin's Statement on Supreme Court Decision on Presidential Immunity,https://raskin.house.gov/2024/7/rep-raskin-s-statement-on-supreme-court-decision-on-presidential-immunity,congress_press/2024/2024-07.jsonl,91
2024-Q3,2024-07-02,Troy A. Carter,Democrat,LA,"Congressman Carter, Armstrong Introduce Bipartisan Criminal Justice Reform Bill to Expunge Federal Marijuana Misdemeanors",https://troycarter.house.gov/media/press-releases/congressman-carter-armstrong-introduce-bipartisan-criminal-justice-reform-bill,congress_press/2024/2024-07.jsonl,233
2024-Q3,2024-07-18,Jared Huffman,Democrat,CA,"Huffman, Raskin Sound Alarm on Project 2025 Plan to Attack Reproductive Freedom",https://huffman.house.gov/media-center/press-releases/huffman-raskin-sound-alarm-on-project-2025-plan-to-attack-reproductive-freedom,congress_press/2024/2024-07.jsonl,1478
2024-Q3,2024-08-15,Daniel S. Goldman,Democrat,NY,Congressman Dan Goldman Pushes to Allow Legal Cannabis Businesses to Be Integrated into the Banking System,https://goldman.house.gov/media/press-releases/congressman-dan-goldman-pushes-allow-legal-cannabis-businesses-be-integrated,congress_press/2024/2024-08.jsonl,1064
2024-Q3,2024-08-21,Ted Lieu,Democrat,CA,REP LIEU STATEMENT ON THE PASSING OF CONGRESSMAN PASCRELL,https://lieu.house.gov/media-center/press-releases/rep-lieu-statement-passing-congressman-pascrell,congress_press/2024/2024-08.jsonl,1344
2024-Q3,2024-09-24,Jonathan L. Jackson,Democrat,IL,Congressman Jonathan L. Jackson (D-IL) calls on the Missouri Supreme Court to spare the life of Marcellus Williams,https://jonathanjackson.house.gov/media/press-releases/congressman-jonathan-l-jackson-d-il-calls-missouri-supreme-court-spare-life,congress_press/2024/2024-09.jsonl,2216
2024-Q4,2024-10-17,Jonathan L. Jackson,Democrat,IL,Congressman Jonathan L. Jackson Demands Immediate Stay of Execution for Robert Roberson,https://jonathanjackson.house.gov/media/press-releases/congressman-jonathan-l-jackson-demands-immediate-stay-execution-robert,congress_press/2024/2024-10.jsonl,1291
2024-Q4,2024-10-18,Jasmine Crockett,Democrat,TX,"Oversight Democrats’ New Report Proves Trump Used His D.C. Hotel to Take Unconstitutional Domestic Emoluments, Fleecing the Taxpayers",https://crockett.house.gov/media/press-releases/oversight-democrats-new-report-proves-trump-used-his-dc-hotel-take,congress_press/2024/2024-10.jsonl,1395
2024-Q4,2024-12-01,Adrian Smith,Republican,NE,Smith Statement on Pardon of Hunter Biden,https://adriansmith.house.gov/media/press-releases/smith-statement-pardon-hunter-biden,congress_press/2024/2024-12.jsonl,1
2024-Q4,2024-12-02,Mark E. Amodei,Republican,NV,Amodei Statement on President Biden's Pardon of Hunter Biden,https://amodei.house.gov/news-releases/amodei-statement-president-bidens-pardon-hunter-biden,congress_press/2024/2024-12.jsonl,9
2024-Q4,2024-12-02,Christopher H. Smith,Republican,NJ,Rep. Smith's statement on President Biden's pardon of Hunter Biden,https://chrissmith.house.gov/news/documentsingle.aspx?DocumentID=413438,congress_press/2024/2024-12.jsonl,16
2024-Q4,2024-12-02,Steve Cohen,Democrat,TN,Concerns about Hunter Biden’s Pardon Ring Hollow as Republicans Sidelined Congressman Cohen’s Constitutional Amendment that Would Have Limit,https://cohen.house.gov/media-center/press-releases/concerns-about-hunter-bidens-pardon-ring-hollow-republicans-sidelined,congress_press/2024/2024-12.jsonl,19
2024-Q4,2024-12-02,Mike Quigley,Democrat,IL,Quigley Statement on Biden Pardon Decision,https://quigley.house.gov/media-center/press-releases/quigley-statement-biden-pardon-decision,congress_press/2024/2024-12.jsonl,35
2024-Q4,2024-12-02,Derrick Van Orden,Republican,WI,Van Orden Statement on President Biden’s Pardon of Hunter Biden,https://vanorden.house.gov/media/press-releases/van-orden-statement-president-bidens-pardon-hunter-biden,congress_press/2024/2024-12.jsonl,40
2024-Q4,2024-12-02,John Cornyn,Republican,TX,VIDEO: Cornyn on Hunter Biden Pardon: ‘Blatant Corruption’,https://www.cornyn.senate.gov/news/video-cornyn-on-hunter-biden-pardon-blatant-corruption/,congress_press/2024/2024-12.jsonl,53
2024-Q4,2024-12-04,Brendan F. Boyle,Democrat,PA,Congressman Brendan Boyle Calls for President Biden to Issue Blanket Pardon for Those Targeted by Trump’s “Enemies List”,https://boyle.house.gov/media-center/press-releases/congressman-brendan-boyle-calls-president-biden-issue-blanket-pardon,congress_press/2024/2024-12.jsonl,164
2024-Q4,2024-12-04,Steve Cohen,Democrat,TN,Former Labor Secretary Robert Reich Endorses Congressman Cohen’s Constitutional Amendment to Limit the Presidential Pardon Power,https://cohen.house.gov/media-center/press-releases/former-labor-secretary-robert-reich-endorses-congressman-cohens,congress_press/2024/2024-12.jsonl,172
2024-Q4,2024-12-04,Brian Schatz,Democrat,HI,Schatz Urges President Biden To Pardon Native American Activist Leonard Peltier In Final Weeks Of Term,https://www.schatz.senate.gov/news/press-releases/schatz-urges-president-biden-to-pardon-native-american-activist-leonard-peltier-in-final-weeks-of-term,congress_press/2024/2024-12.jsonl,278
