ld203_filer_org,disclosed_giving_total,items
LAWYERS' COMMITTEE FOR CIVIL RIGHTS UNDER LAW,1452354.0,3
AMERICAN CIVIL LIBERTIES UNION,51960.0,13
FWD.US,30000.0,1
LEADERSHIP CONFERENCE ON CIVIL AND HUMAN RIGHTS,16712.0,50
PROTECT DEMOCRACY UNITED (FORMERLY KNOWN AS UNITED TO PROTECT DEMOCRACY),2500.0,1
THE IMMIGRATION HUB LLC,2200.0,4
NATIONAL ASSOCIATION FOR THE ADVANCEMENT OF COLORED PEOPLE,1500.0,6
AMERICANS FOR PROSPERITY,360.0,2
NATIONAL COUNCIL OF JEWISH WOMEN,100.0,1
